,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,0,0.0,0.0,0.0,0.0,0.0,Calgary,0.23754645884037018,0.38956838846206665,0.3728851079940796,0.18952475488185883,0.08292323350906372,0.3927151560783386,0.33483678102493286
1,1,2020-02-25,0,0.0,0.0,0.0,0.0,0.0,Calgary,0.23754645884037018,0.38956838846206665,0.3728851079940796,0.18952475488185883,0.08292323350906372,0.3927151560783386,0.33483678102493286
2,2,2020-02-26,0,0.0,0.0,0.0,0.0,0.0,Calgary,0.23754645884037018,0.38956838846206665,0.3728851079940796,0.18952475488185883,0.08292323350906372,0.3927151560783386,0.33483678102493286
3,3,2020-02-27,0,0.0,0.0,0.0,0.0,0.0,Calgary,0.23754645884037018,0.38956838846206665,0.3728851079940796,0.18952475488185883,0.08292323350906372,0.3927151560783386,0.33483678102493286
4,4,2020-02-28,13,10.0,4.0,19.0,0.0,33.0,Calgary,0.20727218687534332,0.60365891456604,0.18906886875629425,0.1468384563922882,0.16280096769332886,0.3466182053089142,0.34374237060546875
5,5,2020-02-29,1,0.0,0.0,0.0,0.0,0.0,Calgary,0.4963025450706482,0.46509209275245667,0.03860534355044365,0.1755233258008957,0.0167074054479599,0.056134261190891266,0.7516350746154785
6,6,2020-03-01,1,0.0,0.0,0.0,0.0,0.0,Calgary,0.2262219935655594,0.7000485062599182,0.0737295150756836,0.2532198429107666,0.04028230533003807,0.5408221483230591,0.16567577421665192
7,7,2020-03-02,2,1.0,1.0,3.0,0.0,5.0,Calgary,0.6001051664352417,0.3058120012283325,0.09408290684223175,0.39924347400665283,0.08852601051330566,0.08157479017972946,0.4306558072566986
8,8,2020-03-03,1,0.0,0.0,1.0,0.0,1.0,Calgary,0.5518487095832825,0.4001741111278534,0.047977205365896225,0.22065281867980957,0.011288302019238472,0.17781293392181396,0.5902459025382996
9,9,2020-03-04,2,9.0,0.0,8.0,1.0,18.0,Calgary,0.40665820240974426,0.20750555396080017,0.38583627343177795,0.17947450280189514,0.4050232172012329,0.06866952776908875,0.34683287143707275
10,10,2020-03-05,3,0.0,0.0,2.0,0.0,2.0,Calgary,0.3688754737377167,0.4355907738208771,0.19553369283676147,0.3737427294254303,0.04582306370139122,0.1631823480129242,0.4172518253326416
11,11,2020-03-06,6,9.0,3.0,53.0,1.0,66.0,Calgary,0.36428752541542053,0.5168665647506714,0.1188458800315857,0.28785645961761475,0.1367490440607071,0.09257062524557114,0.48282375931739807
12,12,2020-03-07,8,2.0,7.0,18.0,3.0,30.0,Calgary,0.281483918428421,0.49710813164711,0.22140799462795258,0.25168901681900024,0.178615003824234,0.22085195779800415,0.3488439917564392
13,13,2020-03-08,7,4.0,5.0,24.0,1.0,34.0,Calgary,0.28530246019363403,0.43058866262435913,0.28410884737968445,0.24310381710529327,0.10469208657741547,0.3116547465324402,0.3405492603778839
14,14,2020-03-09,9,18.0,8.0,59.0,3.0,88.0,Calgary,0.5276471972465515,0.3936479091644287,0.07870487123727798,0.31287649273872375,0.10979802161455154,0.08726953715085983,0.4900558888912201
15,15,2020-03-10,19,7.0,58.0,179.0,15.0,259.0,Calgary,0.264212965965271,0.40672820806503296,0.32905885577201843,0.24027852714061737,0.27473267912864685,0.26301026344299316,0.22197848558425903
16,16,2020-03-11,25,21.0,11.0,69.0,1.0,102.0,Calgary,0.33409830927848816,0.3921682834625244,0.2737334370613098,0.24639202654361725,0.14741942286491394,0.29103201627731323,0.315156489610672
17,17,2020-03-12,68,53.0,276.0,605.0,20.0,954.0,Calgary,0.302014023065567,0.4230266213417053,0.27495938539505005,0.23845329880714417,0.20818597078323364,0.3151409924030304,0.23821979761123657
18,18,2020-03-13,79,52.0,230.0,688.0,15.0,985.0,Calgary,0.2844391465187073,0.3822557330131531,0.3333050608634949,0.21246862411499023,0.1739092767238617,0.31775981187820435,0.2958623468875885
