,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,1,0,0,11,0,11,Calgary,0.6580146,0.29866263,0.04332282,0.7965065,0.04361935,0.02784083,0.1320332
1,1,2020-02-25,1,1,0,0,0,1,Calgary,0.5081419,0.40593714,0.085921034,0.04504761,0.093003295,0.06476202,0.7971871
2,2,2020-02-26,1,0,0,1,0,1,Calgary,0.2903924,0.5862389,0.12336878,0.06161717,0.69923335,0.16066027,0.078489274
3,3,2020-02-27,1,0,0,0,0,0,Calgary,0.4611339,0.38180396,0.15706211,0.030656561,0.039566685,0.7658571,0.16391973
4,4,2020-02-28,3,0,14,21,0,35,Calgary,0.3395166,0.21564792,0.44483545,0.3867766,0.3340688,0.18378715,0.0953674
5,5,2020-02-29,0,0,0,0,0,0,Calgary,0.3395166,0.21564792,0.44483545,0.3867766,0.3340688,0.18378715,0.0953674
6,6,2020-03-01,0,0,0,0,0,0,Calgary,0.3395166,0.21564792,0.44483545,0.3867766,0.3340688,0.18378715,0.0953674
7,7,2020-03-02,1,0,20,24,0,44,Calgary,0.0009909427,0.037889607,0.96111935,0.015635053,0.86936265,0.10333948,0.011662731
8,8,2020-03-03,0,0,0,0,0,0,Calgary,0.0009909427,0.037889607,0.96111935,0.015635053,0.86936265,0.10333948,0.011662731
9,9,2020-03-04,1,0,12,12,0,24,Calgary,0.0055112857,0.33475935,0.6597293,0.035159755,0.7067544,0.2301229,0.027963087
10,10,2020-03-05,1,1,0,1,0,2,Calgary,0.11613897,0.6310823,0.25277862,0.029473186,0.92484134,0.018993426,0.026692197
11,11,2020-03-06,1,0,0,2,0,2,Calgary,0.48668584,0.41571963,0.097594626,0.09576086,0.2059432,0.06495044,0.6333455
12,12,2020-03-07,1,6,1,9,0,16,Calgary,0.3327462,0.4448275,0.2224264,0.4990015,0.063326046,0.115812704,0.32185978
13,13,2020-03-08,1,0,0,8,0,8,Calgary,0.32348132,0.46629232,0.21022628,0.854499,0.08437846,0.03657008,0.0245525
14,14,2020-03-09,1,0,0,0,0,0,Calgary,0.7362585,0.24112666,0.022614732,0.7539856,0.03767775,0.099244386,0.10909225
15,15,2020-03-10,2,0,0,3,0,3,Calgary,0.1971545,0.7574868,0.04535868,0.43928468,0.122982785,0.06373068,0.37400183
16,16,2020-03-11,1,1,3,1,0,5,Calgary,0.69884574,0.28013805,0.021016277,0.9257133,0.0158236,0.021241827,0.037221164
17,17,2020-03-12,1,0,0,0,0,0,Calgary,0.18666983,0.74893236,0.064397804,0.39549032,0.46249855,0.045911007,0.0961002
