,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,5,0,1,4,0,5,Chicago,0.2945823,0.48386136,0.22155635,0.3463114,0.03947171,0.30853987,0.30567706
1,1,2020-02-25,4,3,1,10,1,15,Chicago,0.607059,0.33653104,0.05641003,0.1832571,0.020813609,0.056375265,0.73955405
2,2,2020-02-26,6,1,1,0,0,2,Chicago,0.3615226,0.48921,0.14926739,0.40715778,0.12274308,0.3015648,0.16853434
3,3,2020-02-27,3,1,1,3,0,5,Chicago,0.4691918,0.4646503,0.06615796,0.48753557,0.022931213,0.23673742,0.25279585
4,4,2020-02-28,8,0,3,16,0,19,Chicago,0.35557055,0.32725817,0.3171713,0.31021923,0.13794059,0.38684762,0.1649926
5,5,2020-02-29,17,17,20,104,2,143,Chicago,0.3298296,0.41696084,0.25320953,0.25996616,0.13695413,0.327204,0.27587572
6,6,2020-03-01,10,3,41,69,1,114,Chicago,0.39267159,0.52032846,0.08699987,0.2462657,0.19125636,0.19322589,0.3692521
7,7,2020-03-02,14,3,14,43,2,62,Chicago,0.23665155,0.52893394,0.23441447,0.22172257,0.19352481,0.25955373,0.32519886
8,8,2020-03-03,18,5,19,32,0,56,Chicago,0.34769538,0.48294175,0.1693629,0.15648267,0.12768824,0.28043738,0.43539172
9,9,2020-03-04,6,0,0,2,0,2,Chicago,0.5918357,0.3363166,0.071847714,0.25184718,0.10162145,0.12917261,0.51735884
10,10,2020-03-05,16,24,30,129,1,184,Chicago,0.28758278,0.48495317,0.22746406,0.21190886,0.17304206,0.26702473,0.3480244
11,11,2020-03-06,16,2,4,54,0,60,Chicago,0.39448932,0.40542215,0.20008853,0.37790468,0.13810323,0.1959061,0.288086
12,12,2020-03-07,21,8,32,78,1,119,Chicago,0.42315897,0.3290224,0.24781859,0.32885325,0.14959905,0.1409038,0.38064393
13,13,2020-03-08,20,17,20,58,3,98,Chicago,0.4255951,0.41313213,0.16127273,0.26410437,0.22514474,0.16926304,0.34148782
14,14,2020-03-09,32,17,52,141,6,216,Chicago,0.3567458,0.44853732,0.19471693,0.29461437,0.18592863,0.20770729,0.31174973
15,15,2020-03-10,45,32,58,280,1,371,Chicago,0.33351728,0.42324528,0.24323748,0.27035567,0.20688058,0.26888314,0.2538805
16,16,2020-03-11,115,202,536,1546,57,2341,Chicago,0.38517615,0.38052163,0.23430192,0.34583125,0.17546989,0.22221643,0.25648236
17,17,2020-03-12,137,149,586,2306,80,3121,Chicago,0.37692958,0.3977672,0.22530325,0.3105738,0.17035194,0.2534993,0.26557487
18,18,2020-03-13,119,70,216,781,27,1094,Chicago,0.26594085,0.39659342,0.3374658,0.2670081,0.19975023,0.30477443,0.22846718
19,19,2020-03-14,88,47,256,717,25,1045,Chicago,0.3030092,0.3763576,0.3206331,0.28042853,0.20264505,0.2837665,0.23316003
20,20,2020-03-15,134,66,209,628,31,934,Chicago,0.31070912,0.36677346,0.32251737,0.2696993,0.20686898,0.2523022,0.2711294
21,21,2020-03-16,135,175,934,5680,94,6883,Chicago,0.33531812,0.36850715,0.29617468,0.26287973,0.17860353,0.28178746,0.27672935
22,22,2020-03-17,134,452,3253,8316,754,12775,Chicago,0.31251103,0.34463707,0.34285197,0.2275542,0.19434208,0.30054072,0.27756286
23,23,2020-03-18,165,200,934,2661,190,3985,Chicago,0.29609048,0.34886208,0.35504735,0.23994215,0.20578597,0.31917447,0.23509744
24,24,2020-03-19,156,84,257,1015,27,1383,Chicago,0.32938895,0.3589136,0.31169745,0.26837653,0.19555171,0.27842847,0.25764337
25,25,2020-03-20,133,48,174,677,19,918,Chicago,0.27047145,0.37760383,0.35192475,0.22691043,0.1807594,0.34275112,0.24957906
26,26,2020-03-21,98,54,264,985,27,1330,Chicago,0.23902237,0.41402343,0.3469542,0.19791578,0.19776216,0.34885356,0.25546855
27,27,2020-03-22,111,47,98,492,6,643,Chicago,0.30783713,0.38334373,0.3088194,0.27897736,0.13880381,0.29895902,0.28325978
28,28,2020-03-23,131,79,250,914,24,1267,Chicago,0.28484502,0.39985648,0.31529847,0.25413764,0.18245319,0.297107,0.26630214
29,29,2020-03-24,170,109,462,1853,46,2470,Chicago,0.28816682,0.3637265,0.3481067,0.25925487,0.17923498,0.33071512,0.23079534
30,30,2020-03-25,115,46,187,521,20,774,Chicago,0.2520151,0.39868462,0.34930015,0.24621733,0.22219838,0.28955853,0.24202576
31,31,2020-03-26,119,56,185,570,24,835,Chicago,0.26809436,0.35375822,0.3781474,0.22520468,0.2060768,0.31575927,0.25295916
32,32,2020-03-27,168,68,173,776,26,1043,Chicago,0.3339243,0.3528889,0.31318676,0.32104868,0.18738386,0.25880808,0.2327594
33,33,2020-03-28,139,55,169,751,24,999,Chicago,0.30690306,0.3698777,0.3232191,0.26043397,0.20757106,0.300713,0.23128194
34,34,2020-03-29,123,115,2430,4579,176,7300,Chicago,0.29604095,0.4088795,0.2950797,0.23347796,0.18881159,0.30444685,0.2732637
35,35,2020-03-30,105,98,510,2022,63,2693,Chicago,0.24492246,0.35076162,0.404316,0.17554466,0.27979937,0.3241804,0.22047539
36,36,2020-03-31,135,49,150,552,20,771,Chicago,0.25369215,0.39237362,0.35393432,0.1844171,0.2285776,0.28660363,0.3004017
37,37,2020-04-01,100,56,186,717,25,984,Chicago,0.28954306,0.33356357,0.37689343,0.25919327,0.24636684,0.2735081,0.22093174
38,38,2020-04-02,96,105,282,832,36,1255,Chicago,0.29963228,0.34141865,0.3589491,0.18940699,0.2333883,0.2735047,0.30369988
39,39,2020-04-03,97,81,311,926,30,1348,Chicago,0.2554471,0.36901757,0.37553543,0.22789037,0.24740963,0.29610875,0.2285912
40,40,2020-04-04,74,90,269,1736,28,2123,Chicago,0.29670215,0.31512386,0.388174,0.20418322,0.23663186,0.29331228,0.2658726
41,41,2020-04-05,70,186,4843,6651,395,12075,Chicago,0.3817628,0.3591906,0.25904658,0.3545485,0.19196862,0.1930174,0.26046547
42,42,2020-04-06,84,122,205,677,26,1030,Chicago,0.3686429,0.35974038,0.2716168,0.25177035,0.21486217,0.20918877,0.32417876
43,43,2020-04-07,122,72,1051,2371,145,3639,Chicago,0.25863138,0.3819872,0.35938144,0.25443992,0.2166021,0.3158447,0.21311328
44,44,2020-04-08,110,84,249,767,29,1129,Chicago,0.3196515,0.35210666,0.32824194,0.24161522,0.20013858,0.27248642,0.2857596
45,45,2020-04-09,76,76,105,637,18,836,Chicago,0.33830693,0.34909058,0.31260243,0.27820542,0.2107873,0.24016179,0.27084538
46,46,2020-04-10,87,33,186,502,28,749,Chicago,0.19396922,0.41076547,0.39526525,0.16169767,0.28085622,0.31149533,0.24595085
47,47,2020-04-11,59,35,426,1931,47,2439,Chicago,0.28394055,0.35288125,0.36317822,0.19881712,0.22731633,0.27288383,0.3009827
48,48,2020-04-12,63,22,35,150,2,209,Chicago,0.25457123,0.39964148,0.34578717,0.25874656,0.3147485,0.25178516,0.17471972
49,49,2020-04-13,78,31,180,437,16,664,Chicago,0.4162471,0.28237435,0.30137852,0.3155147,0.1852918,0.23891571,0.2602777
50,50,2020-04-14,94,58,124,422,9,613,Chicago,0.27216306,0.3965248,0.3313122,0.24251392,0.27403957,0.24877906,0.23466745
51,51,2020-04-15,102,31,136,413,15,595,Chicago,0.24800427,0.37873638,0.37325928,0.2063873,0.2349674,0.342158,0.21648729
52,52,2020-04-16,93,42,125,476,15,658,Chicago,0.2538352,0.45193473,0.2942301,0.20003286,0.24323311,0.26543048,0.29130352
53,53,2020-04-17,76,15,107,273,6,401,Chicago,0.32348472,0.36430603,0.31220928,0.35353673,0.2050781,0.27346817,0.16791703
54,54,2020-04-18,58,27,57,397,12,493,Chicago,0.20952818,0.37364396,0.4168279,0.15350616,0.26838595,0.35271809,0.2253899
55,55,2020-04-19,59,30,41,180,8,259,Chicago,0.2771953,0.374572,0.3482326,0.2743315,0.2054874,0.3121378,0.20804323
56,56,2020-04-20,78,98,517,1615,27,2257,Chicago,0.34702072,0.33660424,0.31637508,0.2760812,0.20528014,0.25976235,0.25887623
57,57,2020-04-21,64,24,68,218,8,318,Chicago,0.33232215,0.38637644,0.28130126,0.25529224,0.17814234,0.29957655,0.26698896
58,58,2020-04-22,77,43,434,1163,32,1672,Chicago,0.31801903,0.34817865,0.3338023,0.21546824,0.2190582,0.30898368,0.2564899
59,59,2020-04-23,83,71,678,2844,57,3650,Chicago,0.29165757,0.35845512,0.34988728,0.24229328,0.23873156,0.25125536,0.26771963
60,60,2020-04-24,68,38,88,299,16,441,Chicago,0.3190901,0.33408064,0.34682915,0.310422,0.24661528,0.28328776,0.15967502
61,61,2020-04-25,47,22,96,192,9,319,Chicago,0.32801458,0.4112616,0.2607238,0.31021047,0.27387807,0.2238226,0.19208875
62,62,2020-04-26,43,34,62,285,4,385,Chicago,0.28383026,0.33909494,0.37707475,0.25631708,0.2737591,0.26075915,0.2091646
63,63,2020-04-27,55,31,106,457,18,612,Chicago,0.34792686,0.38359573,0.2684774,0.32676524,0.25796992,0.22299758,0.19226722
64,64,2020-04-28,81,37,109,328,8,482,Chicago,0.22725609,0.3606945,0.41204956,0.21790373,0.24263167,0.3160769,0.2233877
