,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,0,0.0,0.0,0.0,0.0,0.0,Chicago,0,0,0,0,0,0,0
1,1,2020-02-25,1,1.0,0.0,1.0,0.0,2.0,Chicago,0.6758133172988892,0.2764461934566498,0.04774048179388046,0.02327038161456585,0.03369810804724693,0.012191308662295341,0.930840253829956
2,2,2020-02-26,0,0.0,0.0,0.0,0.0,0.0,Chicago,0,0,0,0,0,0,0
3,3,2020-02-27,0,0.0,0.0,0.0,0.0,0.0,Chicago,0,0,0,0,0,0,0
4,4,2020-02-28,1,0.0,0.0,0.0,0.0,0.0,Chicago,0.03198619186878204,0.12974601984024048,0.8382678627967834,0.42672765254974365,0.35915935039520264,0.15266361832618713,0.061449430882930756
5,5,2020-02-29,2,1.0,0.0,10.0,1.0,12.0,Chicago,0.6898634433746338,0.2229386568069458,0.0871979296207428,0.6695637702941895,0.11260823160409927,0.052925482392311096,0.164902463555336
6,6,2020-03-01,0,0.0,0.0,0.0,0.0,0.0,Chicago,0,0,0,0,0,0,0
7,7,2020-03-02,0,0.0,0.0,0.0,0.0,0.0,Chicago,0,0,0,0,0,0,0
8,8,2020-03-03,0,0.0,0.0,0.0,0.0,0.0,Chicago,0,0,0,0,0,0,0
9,9,2020-03-04,1,0.0,0.0,0.0,0.0,0.0,Chicago,0.11690891534090042,0.8603698015213013,0.022721370682120323,0.14670899510383606,0.026216905564069748,0.03069598227739334,0.7963781356811523
10,10,2020-03-05,1,0.0,0.0,1.0,0.0,1.0,Chicago,0.09473218768835068,0.6266888976097107,0.2785789966583252,0.6126723885536194,0.06793054193258286,0.2729397714138031,0.046457283198833466
11,11,2020-03-06,0,0.0,0.0,0.0,0.0,0.0,Chicago,0,0,0,0,0,0,0
12,12,2020-03-07,1,2.0,0.0,5.0,0.0,7.0,Chicago,0.5161181688308716,0.4524324834346771,0.031449370086193085,0.8569926023483276,0.01209217868745327,0.0189223513007164,0.1119927316904068
13,13,2020-03-08,1,0.0,0.0,0.0,0.0,0.0,Chicago,0.9384726285934448,0.0567217580974102,0.0048056175000965595,0.04701322689652443,0.014354505576193333,0.005986042320728302,0.9326462149620056
14,14,2020-03-09,3,0.0,1.0,16.0,0.0,17.0,Chicago,0.6141366958618164,0.3517167866230011,0.03414657711982727,0.29819878935813904,0.017384279519319534,0.03359942510724068,0.6508175134658813
15,15,2020-03-10,4,0.0,0.0,5.0,0.0,5.0,Chicago,0.7144636511802673,0.26982712745666504,0.015709254890680313,0.36437085270881653,0.020406465977430344,0.04626372829079628,0.5689589977264404
16,16,2020-03-11,3,3.0,6.0,10.0,2.0,21.0,Chicago,0.6328049302101135,0.2564908564090729,0.11070416122674942,0.5227333903312683,0.009438050910830498,0.07683855295181274,0.39099010825157166
17,17,2020-03-12,11,8.0,2.0,25.0,0.0,35.0,Chicago,0.6344818472862244,0.3259546458721161,0.039563510566949844,0.5984289646148682,0.014712789095938206,0.027273081243038177,0.3595852553844452
18,18,2020-03-13,19,11.0,8.0,78.0,1.0,98.0,Chicago,0.47245481610298157,0.3593165874481201,0.16822858154773712,0.39063945412635803,0.1340775489807129,0.07502728700637817,0.4002557098865509
19,19,2020-03-14,12,7.0,0.0,14.0,0.0,21.0,Chicago,0.28828898072242737,0.42999324202537537,0.2817177474498749,0.3628265857696533,0.15866686403751373,0.1571177840232849,0.32138872146606445
20,20,2020-03-15,28,24.0,35.0,194.0,5.0,258.0,Chicago,0.4782268702983856,0.2859574258327484,0.23581573367118835,0.4469500482082367,0.14727500081062317,0.13293957710266113,0.2728354334831238
21,21,2020-03-16,34,14.0,16.0,124.0,6.0,160.0,Chicago,0.3284957706928253,0.5009017586708069,0.1706024408340454,0.39014607667922974,0.1348084658384323,0.13901063799858093,0.3360348343849182
22,22,2020-03-17,28,17.0,16.0,218.0,2.0,253.0,Chicago,0.4207249581813812,0.3755323588848114,0.20374265313148499,0.4663856625556946,0.22156798839569092,0.106211356818676,0.2058350294828415
23,23,2020-03-18,20,12.0,14.0,100.0,0.0,126.0,Chicago,0.3381877541542053,0.4672650396823883,0.19454719126224518,0.37010425329208374,0.13307590782642365,0.14657476544380188,0.3502449691295624
24,24,2020-03-19,40,36.0,247.0,1014.0,56.0,1353.0,Chicago,0.42528343200683594,0.35033443570137024,0.22438208758831024,0.4844357371330261,0.14193569123744965,0.15669932961463928,0.21692928671836853
25,25,2020-03-20,89,62.0,55.0,644.0,8.0,769.0,Chicago,0.3823815584182739,0.41282808780670166,0.20479044318199158,0.3915618658065796,0.15791170299053192,0.1452050507068634,0.3053213953971863
26,26,2020-03-21,84,52.0,16.0,221.0,3.0,292.0,Chicago,0.31361255049705505,0.40854695439338684,0.2778405547142029,0.3664931356906891,0.22525805234909058,0.1121341735124588,0.29611459374427795
27,27,2020-03-22,66,52.0,182.0,530.0,31.0,795.0,Chicago,0.3775008022785187,0.37387198209762573,0.248627170920372,0.37699249386787415,0.17476965487003326,0.11388082802295685,0.33435702323913574
28,28,2020-03-23,35,11.0,9.0,62.0,1.0,83.0,Chicago,0.3714475631713867,0.45098191499710083,0.17757049202919006,0.36575958132743835,0.12512999773025513,0.0867529809474945,0.422357439994812
29,29,2020-03-24,44,16.0,23.0,157.0,3.0,199.0,Chicago,0.3717696964740753,0.3660079836845398,0.26222240924835205,0.4101981818675995,0.22552643716335297,0.12085188180208206,0.24342337250709534
30,30,2020-03-25,31,34.0,44.0,1314.0,13.0,1405.0,Chicago,0.500783383846283,0.3615153133869171,0.13770131766796112,0.5908381938934326,0.12188255041837692,0.0751047432422638,0.21217449009418488
31,31,2020-03-26,32,3.0,11.0,66.0,3.0,83.0,Chicago,0.37348246574401855,0.4695000648498535,0.15701743960380554,0.4660944938659668,0.2125520557165146,0.08412951976060867,0.23722386360168457
32,32,2020-03-27,22,22.0,62.0,568.0,17.0,669.0,Chicago,0.36897191405296326,0.36332735419273376,0.26770079135894775,0.38501355051994324,0.24157781898975372,0.16859911382198334,0.2048095166683197
33,33,2020-03-28,24,14.0,13.0,132.0,3.0,162.0,Chicago,0.3741661012172699,0.368625670671463,0.2572081983089447,0.37034282088279724,0.22567634284496307,0.07817128300666809,0.3258095681667328
34,34,2020-03-29,27,10.0,5.0,80.0,0.0,95.0,Chicago,0.4167594313621521,0.28018125891685486,0.30305933952331543,0.4064260721206665,0.22061316668987274,0.11021529138088226,0.2627454400062561
35,35,2020-03-30,37,25.0,14.0,96.0,4.0,139.0,Chicago,0.3427530825138092,0.37781450152397156,0.27943238615989685,0.34840962290763855,0.2751038670539856,0.13683833181858063,0.23964817821979523
36,36,2020-03-31,26,10.0,30.0,121.0,3.0,164.0,Chicago,0.3054313361644745,0.3791270852088928,0.3154415488243103,0.3225023150444031,0.24093477427959442,0.12549307942390442,0.3110698163509369
37,37,2020-04-01,24,9.0,6.0,23.0,1.0,39.0,Chicago,0.3299809694290161,0.38011059165000916,0.28990837931632996,0.312953919172287,0.24239450693130493,0.1676349639892578,0.27701660990715027
38,38,2020-04-02,21,12.0,19.0,34.0,1.0,66.0,Chicago,0.37925034761428833,0.44701263308525085,0.17373701930046082,0.36891138553619385,0.14262302219867706,0.13081476092338562,0.3576508164405823
39,39,2020-04-03,19,5.0,11.0,118.0,2.0,136.0,Chicago,0.3206598460674286,0.36935555934906006,0.30998459458351135,0.3277100622653961,0.26233774423599243,0.06916334480047226,0.34078893065452576
40,40,2020-04-04,20,10.0,3.0,23.0,1.0,37.0,Chicago,0.14937689900398254,0.32799553871154785,0.5226274728775024,0.2963983416557312,0.37711185216903687,0.16417187452316284,0.1623179167509079
41,41,2020-04-05,22,15.0,29.0,253.0,2.0,299.0,Chicago,0.2516968846321106,0.4442633390426636,0.30403974652290344,0.27093037962913513,0.30628788471221924,0.15744218230247498,0.26533958315849304
42,42,2020-04-06,14,5.0,18.0,106.0,0.0,129.0,Chicago,0.30994176864624023,0.3821265697479248,0.30793166160583496,0.37081554532051086,0.17847375571727753,0.14939197897911072,0.3013186752796173
43,43,2020-04-07,12,2.0,1.0,13.0,2.0,18.0,Chicago,0.2939639687538147,0.37703144550323486,0.32900458574295044,0.16271589696407318,0.2775923013687134,0.13883845508098602,0.4208533465862274
44,44,2020-04-08,26,4.0,5.0,45.0,2.0,56.0,Chicago,0.430072158575058,0.3184351921081543,0.25149261951446533,0.45796486735343933,0.19275681674480438,0.08633831888437271,0.2629399597644806
45,45,2020-04-09,19,12.0,8.0,105.0,3.0,128.0,Chicago,0.4665866792201996,0.32558950781822205,0.20782387256622314,0.42095479369163513,0.11555681377649307,0.16840404272079468,0.2950843870639801
46,46,2020-04-10,20,8.0,3.0,50.0,2.0,63.0,Chicago,0.2991090416908264,0.40576261281967163,0.29512834548950195,0.29314351081848145,0.2559392750263214,0.1377183496952057,0.31319892406463623
47,47,2020-04-11,20,5.0,8.0,59.0,2.0,74.0,Chicago,0.26315048336982727,0.3406903147697449,0.39615920186042786,0.28303292393684387,0.37063899636268616,0.18353284895420074,0.16279524564743042
