,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,8,3,1,13,0,17,Chicago,0.12848015,0.48470786,0.386812,0.08249063,0.6592084,0.085682064,0.17261884
1,1,2020-02-25,2,2,1,4,1,8,Chicago,0.036209784,0.40563115,0.558159,0.018572832,0.9274854,0.037247792,0.01669401
2,2,2020-02-26,7,2,1,14,0,17,Chicago,0.41001853,0.34324571,0.24673574,0.4246085,0.33617613,0.05783998,0.18137541
3,3,2020-02-27,11,4,0,7,0,11,Chicago,0.23097853,0.4421263,0.32689512,0.26161766,0.5031358,0.1622543,0.07299224
4,4,2020-02-28,5,0,5,12,0,17,Chicago,0.07565139,0.696596,0.22775254,0.16318879,0.2900509,0.37344038,0.17331998
5,5,2020-02-29,7,9,33,182,1,225,Chicago,0.38277808,0.4120328,0.2051891,0.31482905,0.4441869,0.057438545,0.18354551
6,6,2020-03-01,8,2,0,13,0,15,Chicago,0.5447611,0.22442524,0.23081356,0.25635612,0.3515374,0.018035877,0.3740706
7,7,2020-03-02,10,3,3,17,0,23,Chicago,0.36639518,0.4530229,0.18058193,0.3371635,0.29869598,0.13836539,0.2257751
8,8,2020-03-03,10,3,5,24,0,32,Chicago,0.5116595,0.3658019,0.12253857,0.34644264,0.23306005,0.07769735,0.34280002
9,9,2020-03-04,5,3,1,24,0,28,Chicago,0.6097728,0.18304972,0.20717745,0.34810174,0.33956403,0.055591125,0.25674313
10,10,2020-03-05,11,7,1,24,0,32,Chicago,0.4444969,0.4260522,0.12945089,0.45157012,0.28707245,0.060178574,0.20117885
11,11,2020-03-06,5,1,0,19,0,20,Chicago,0.599718,0.37157276,0.028709332,0.6651763,0.18633124,0.030712837,0.117779694
12,12,2020-03-07,10,12,1,69,0,82,Chicago,0.45771852,0.3113535,0.23092794,0.31400242,0.4172327,0.077305354,0.1914595
13,13,2020-03-08,8,4,1,20,0,25,Chicago,0.36351946,0.32609472,0.31038582,0.3525244,0.37169364,0.10350104,0.17228091
14,14,2020-03-09,11,2,1,18,0,21,Chicago,0.49690798,0.29874918,0.20434289,0.52092814,0.18018046,0.100000665,0.19889069
15,15,2020-03-10,11,3,1,35,1,40,Chicago,0.4684414,0.4140443,0.11751432,0.56009126,0.23705405,0.03764714,0.16520752
16,16,2020-03-11,16,10,5,25,0,40,Chicago,0.37993872,0.39330566,0.22675554,0.3836691,0.4450205,0.060503304,0.11080708
17,17,2020-03-12,30,16,22,118,1,157,Chicago,0.30503377,0.40659142,0.2883748,0.33130103,0.30684108,0.14240508,0.21945275
18,18,2020-03-13,19,14,19,226,1,260,Chicago,0.3886044,0.34001788,0.27137774,0.2828934,0.2886833,0.10646512,0.32195824
19,19,2020-03-14,11,3,3,28,0,34,Chicago,0.45251772,0.40774927,0.13973299,0.41802028,0.18059301,0.13830519,0.26308155
20,20,2020-03-15,10,9,21,57,6,93,Chicago,0.4625489,0.48320812,0.05424293,0.38568425,0.25379476,0.11790671,0.24261422
21,21,2020-03-16,25,25,40,382,3,450,Chicago,0.30595374,0.36676434,0.32728192,0.31338078,0.34097546,0.18254197,0.1631018
22,22,2020-03-17,18,8,8,57,1,74,Chicago,0.45327908,0.31114194,0.23557898,0.37102857,0.30852562,0.10735014,0.21309565
23,23,2020-03-18,9,2,1,15,0,18,Chicago,0.4633112,0.26475844,0.27193043,0.53025305,0.25696632,0.12395525,0.0888254
24,24,2020-03-19,21,17,19,168,2,206,Chicago,0.283423,0.47521365,0.24136336,0.25994915,0.29152384,0.1397645,0.3087625
25,25,2020-03-20,14,4,5,28,0,37,Chicago,0.33455187,0.35608426,0.30936384,0.42829743,0.28051737,0.14727773,0.14390746
26,26,2020-03-21,20,11,4,50,1,66,Chicago,0.37373123,0.37787288,0.24839583,0.39791444,0.2318064,0.14355817,0.226721
27,27,2020-03-22,15,20,5,50,1,76,Chicago,0.46422222,0.30691454,0.22886318,0.45324418,0.31309697,0.101120815,0.132538
28,28,2020-03-23,14,3,5,37,0,45,Chicago,0.42039427,0.27827862,0.30132705,0.37326935,0.35294917,0.09297099,0.18081057
29,29,2020-03-24,20,10,8,59,1,78,Chicago,0.3734225,0.31827053,0.30830696,0.4958416,0.28842118,0.13407347,0.08166374
30,30,2020-03-25,17,7,26,107,0,140,Chicago,0.3342975,0.55742115,0.10828138,0.31988528,0.24376968,0.16846709,0.2678779
31,31,2020-03-26,16,5,6,40,2,53,Chicago,0.44624567,0.3438808,0.20987345,0.44242734,0.21958688,0.12140727,0.21657859
32,32,2020-03-27,16,19,21,125,2,167,Chicago,0.32870042,0.4662347,0.20506482,0.36876857,0.29802984,0.15539701,0.17780457
33,33,2020-03-28,33,10,17,85,3,115,Chicago,0.31263018,0.42917088,0.25819895,0.2463626,0.3282473,0.12933402,0.2960561
34,34,2020-03-29,16,13,10,59,4,86,Chicago,0.36836046,0.40114012,0.23049945,0.35366115,0.2574016,0.1571781,0.23175915
35,35,2020-03-30,21,4,2,27,1,34,Chicago,0.40376732,0.407588,0.18864468,0.38018355,0.20753874,0.14421952,0.2680581
36,36,2020-03-31,26,9,12,59,0,80,Chicago,0.5315554,0.3426962,0.12574837,0.47824922,0.13493513,0.06888604,0.31792957
37,37,2020-04-01,23,3,5,36,0,44,Chicago,0.3215066,0.37918812,0.2993052,0.32408616,0.2675842,0.18773289,0.22059669
38,38,2020-04-02,29,16,4,39,2,61,Chicago,0.35246447,0.38021106,0.26732445,0.35413945,0.3015285,0.13213304,0.21219906
39,39,2020-04-03,50,33,53,308,6,400,Chicago,0.36196405,0.39907643,0.23895958,0.37335476,0.24243936,0.17934982,0.20485607
40,40,2020-04-04,51,36,6,129,4,175,Chicago,0.32450652,0.43423033,0.24126317,0.24970531,0.38301897,0.1279411,0.23933457
41,41,2020-04-05,48,26,11,122,2,161,Chicago,0.35270283,0.4360051,0.21129213,0.35324058,0.22916685,0.19059883,0.2269937
42,42,2020-04-06,38,65,309,1243,33,1650,Chicago,0.29083222,0.45095524,0.25821248,0.36256447,0.32999665,0.122717954,0.18472089
43,43,2020-04-07,47,17,16,210,2,245,Chicago,0.31744567,0.37739128,0.30516312,0.3130552,0.33827803,0.14233683,0.20633003
44,44,2020-04-08,36,12,0,54,1,67,Chicago,0.29933473,0.41603866,0.28462657,0.30093005,0.37700832,0.19063316,0.13142845
45,45,2020-04-09,30,15,13,96,6,130,Chicago,0.33422455,0.33459628,0.33117923,0.32142887,0.43975216,0.10107362,0.13774534
46,46,2020-04-10,50,48,20,330,7,405,Chicago,0.5063999,0.3229284,0.17067175,0.5012656,0.20011842,0.060162038,0.23845392
47,47,2020-04-11,39,26,2,115,4,147,Chicago,0.37756383,0.39876264,0.22367345,0.37421954,0.27927408,0.16149367,0.18501271
48,48,2020-04-12,22,8,3,20,0,31,Chicago,0.23270002,0.42665604,0.34064394,0.30300963,0.42510688,0.1000711,0.17181243
49,49,2020-04-13,23,10,4,59,1,74,Chicago,0.21331236,0.41918984,0.36749774,0.19393241,0.45321813,0.18367466,0.16917485
50,50,2020-04-14,34,10,6,49,3,68,Chicago,0.27700326,0.4138353,0.30916137,0.30085993,0.37636805,0.12021487,0.20255724
51,51,2020-04-15,22,16,16,128,2,162,Chicago,0.25864944,0.319572,0.42177847,0.30457005,0.36213273,0.18817917,0.1451181
52,52,2020-04-16,24,9,0,39,0,48,Chicago,0.25832137,0.46778932,0.27388927,0.26839155,0.36750004,0.16660786,0.19750053
