,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,7,0,1,3,0,4,Los_Angeles,0.26014358,0.48690864,0.25294772,0.18697706,0.2828597,0.24508432,0.28507888
1,1,2020-02-25,9,34,21,304,0,359,Los_Angeles,0.30204916,0.3897084,0.30824247,0.10010333,0.16687565,0.38021597,0.35280502
2,2,2020-02-26,3,1,1,3,0,5,Los_Angeles,0.26652512,0.3815888,0.35188612,0.5552501,0.1350962,0.121196985,0.18845673
3,3,2020-02-27,12,28,18,183,2,231,Los_Angeles,0.40682712,0.3190504,0.2741225,0.32638988,0.25200507,0.23800325,0.18360186
4,4,2020-02-28,19,11,1,29,0,41,Los_Angeles,0.4921376,0.32274178,0.1851206,0.39804584,0.20157072,0.18147762,0.21890575
5,5,2020-02-29,16,4,4,41,0,49,Los_Angeles,0.5253565,0.33047786,0.1441656,0.5032817,0.15828863,0.18793884,0.1504908
6,6,2020-03-01,13,1,3,20,0,24,Los_Angeles,0.43554962,0.34980932,0.21464108,0.41325462,0.14047292,0.22792989,0.21834251
7,7,2020-03-02,21,19,170,1422,10,1621,Los_Angeles,0.41315752,0.46582037,0.121022075,0.2814878,0.15367629,0.17259224,0.39224365
8,8,2020-03-03,15,6,10,31,1,48,Los_Angeles,0.23716865,0.36940393,0.3934274,0.16987446,0.22871052,0.35425887,0.24715613
9,9,2020-03-04,14,6,11,45,1,63,Los_Angeles,0.38517672,0.39353794,0.22128534,0.3387804,0.19035257,0.19134457,0.27952248
10,10,2020-03-05,40,19,53,180,7,259,Los_Angeles,0.36263782,0.3908047,0.24655747,0.34141794,0.19021647,0.21553285,0.25283274
11,11,2020-03-06,67,46,147,536,11,740,Los_Angeles,0.45459616,0.3600926,0.18531121,0.3429772,0.1147039,0.23079734,0.31152162
12,12,2020-03-07,33,18,25,137,2,182,Los_Angeles,0.41782826,0.39123783,0.19093382,0.32790262,0.16829501,0.21363606,0.29016632
13,13,2020-03-08,42,20,20,136,3,179,Los_Angeles,0.32122025,0.40068218,0.27809757,0.26728043,0.29080668,0.22623895,0.21567392
14,14,2020-03-09,47,20,34,255,4,313,Los_Angeles,0.4974426,0.3667653,0.13579215,0.4617533,0.09935043,0.19666047,0.24223576
15,15,2020-03-10,87,42,28,225,1,296,Los_Angeles,0.3478497,0.39523858,0.2569118,0.31590357,0.17427099,0.24775527,0.26207015
16,16,2020-03-11,151,115,111,979,12,1217,Los_Angeles,0.38904864,0.41107136,0.1998798,0.32338008,0.21099848,0.19313534,0.27248594
17,17,2020-03-12,268,177,2407,6690,162,9436,Los_Angeles,0.4211815,0.3614855,0.21733315,0.3393043,0.15549484,0.21107182,0.2941289
18,18,2020-03-13,223,139,599,1919,63,2720,Los_Angeles,0.36361358,0.38154924,0.2548371,0.30564138,0.18856096,0.20590127,0.29989642
