,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,1,0,0,2,0,2,Los_Angeles,0.25710147619247437,0.5853410959243774,0.1575573980808258,0.037068869918584824,0.09180927276611328,0.6197242140769958,0.2513977587223053
1,1,2020-02-25,3,1,2,2,0,5,Los_Angeles,0.48496389389038086,0.49797573685646057,0.017060300335288048,0.34267234802246094,0.021950505673885345,0.036621227860450745,0.5987558960914612
2,2,2020-02-26,3,0,1,4,0,5,Los_Angeles,0.6839282512664795,0.30483368039131165,0.011238058097660542,0.23292046785354614,0.02034349925816059,0.027853505685925484,0.7188825607299805
3,3,2020-02-27,0,0,0,0,0,0,Los_Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2020-02-28,5,3,20,32,0,55,Los_Angeles,0.3331694006919861,0.4947424829006195,0.17208804190158844,0.12823300063610077,0.167862206697464,0.12307367473840714,0.5808311104774475
5,5,2020-02-29,1,0,0,0,0,0,Los_Angeles,0.12059225887060165,0.8535876870155334,0.025820022448897362,0.23244547843933105,0.023869922384619713,0.09918396919965744,0.6445005536079407
6,6,2020-03-01,2,1,0,1,0,2,Los_Angeles,0.31003785133361816,0.3280267119407654,0.36193543672561646,0.41210976243019104,0.431767076253891,0.0634332224726677,0.09268992394208908
7,7,2020-03-02,4,1,0,2,0,3,Los_Angeles,0.06783890724182129,0.6007015705108643,0.33145949244499207,0.4320824146270752,0.14985248446464539,0.23972946405410767,0.17833566665649414
8,8,2020-03-03,2,0,0,0,1,1,Los_Angeles,0.6344559788703918,0.3404701352119446,0.025073930621147156,0.9168165922164917,0.007394074462354183,0.00958946906030178,0.06619983166456223
9,9,2020-03-04,1,2,2,16,0,20,Los_Angeles,0.0011961510172113776,0.031633634120225906,0.967170238494873,0.011995295993983746,0.9155306816101074,0.0599353164434433,0.012538635171949863
10,10,2020-03-05,0,0,0,0,0,0,Los_Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,2020-03-06,4,0,0,3,0,3,Los_Angeles,0.37211018800735474,0.57595294713974,0.05193687975406647,0.36926203966140747,0.043593879789114,0.21789482235908508,0.3692493438720703
12,12,2020-03-07,4,4,4,14,0,22,Los_Angeles,0.3308678865432739,0.49270471930503845,0.17642733454704285,0.4067149758338928,0.026756875216960907,0.18527984619140625,0.38124823570251465
13,13,2020-03-08,2,1,0,4,0,5,Los_Angeles,0.5185410380363464,0.43171820044517517,0.04974070563912392,0.6946295499801636,0.014170467853546143,0.04444049298763275,0.2467595785856247
14,14,2020-03-09,10,4,10,97,5,116,Los_Angeles,0.5107372999191284,0.31815773248672485,0.17110493779182434,0.4887758195400238,0.042955219745635986,0.09213237464427948,0.37613657116889954
15,15,2020-03-10,17,7,5,13,1,26,Los_Angeles,0.43641161918640137,0.310344934463501,0.2532433867454529,0.37491220235824585,0.1429656594991684,0.1234222874045372,0.3586997985839844
16,16,2020-03-11,14,24,55,142,4,225,Los_Angeles,0.5933858156204224,0.3398961126804352,0.06671808660030365,0.5782646536827087,0.06112772598862648,0.05322617292404175,0.30738139152526855
17,17,2020-03-12,35,44,23,159,5,231,Los_Angeles,0.5400974154472351,0.38838469982147217,0.07151786237955093,0.4527190923690796,0.0965300127863884,0.08870655298233032,0.3620443344116211
18,18,2020-03-13,50,305,399,7565,22,8291,Los_Angeles,0.3863871395587921,0.4306138753890991,0.18299895524978638,0.372102290391922,0.17868255078792572,0.11414775997400284,0.3350674510002136
19,19,2020-03-14,33,17,13,103,2,135,Los_Angeles,0.44577857851982117,0.3870728611946106,0.16714859008789062,0.5073287487030029,0.14851634204387665,0.08137805014848709,0.26277685165405273
20,20,2020-03-15,52,16,15,117,1,149,Los_Angeles,0.4032616913318634,0.4162246286869049,0.18051356077194214,0.4569421112537384,0.16661566495895386,0.09622736275196075,0.28021475672721863
