,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,9,6,0,13,0,19,Los_Angeles,0.16415542,0.62047625,0.21536832,0.15691015,0.53765273,0.1258669,0.17957027
1,1,2020-02-25,13,5,17,89,0,111,Los_Angeles,0.27300042,0.52461106,0.20238858,0.20646419,0.5108555,0.09282792,0.18985246
2,2,2020-02-26,19,3,2,34,1,40,Los_Angeles,0.39723024,0.3332614,0.26950836,0.33996427,0.3183801,0.15314512,0.18851057
3,3,2020-02-27,19,27,29,741,0,797,Los_Angeles,0.33541673,0.4023847,0.26219854,0.21265998,0.38047346,0.17773551,0.22913104
4,4,2020-02-28,37,22,17,132,4,175,Los_Angeles,0.4186468,0.31145766,0.26989552,0.35917407,0.33031067,0.10911154,0.20140369
5,5,2020-02-29,16,236,50,661,16,963,Los_Angeles,0.49359408,0.30537945,0.20102648,0.4297101,0.17705417,0.14783648,0.24539934
6,6,2020-03-01,22,20,17,69,5,111,Los_Angeles,0.306034,0.42856923,0.26539668,0.24531054,0.36792806,0.19886206,0.18789937
7,7,2020-03-02,34,26,13,260,2,301,Los_Angeles,0.40187916,0.4066658,0.19145495,0.34875706,0.27112877,0.14062013,0.23949407
8,8,2020-03-03,17,36,12,367,1,416,Los_Angeles,0.33012745,0.44640848,0.22346416,0.25632864,0.37226927,0.1339786,0.23742351
9,9,2020-03-04,17,5,1,37,0,43,Los_Angeles,0.38896245,0.34663418,0.2644034,0.4037942,0.34115148,0.08398351,0.17107072
10,10,2020-03-05,38,34,62,683,6,785,Los_Angeles,0.4508169,0.3784306,0.17075257,0.39496335,0.29725254,0.087691605,0.22009245
11,11,2020-03-06,30,8,9,109,4,130,Los_Angeles,0.3698932,0.41874042,0.21136636,0.3947953,0.34762755,0.112509,0.14506815
12,12,2020-03-07,39,992,14097,54465,760,70314,Los_Angeles,0.36628935,0.40367308,0.23003769,0.3081067,0.32528913,0.13917904,0.22742516
13,13,2020-03-08,28,11,3,40,0,54,Los_Angeles,0.44699576,0.40241757,0.15058671,0.4244714,0.26063395,0.07971443,0.23518024
14,14,2020-03-09,32,38,159,500,6,703,Los_Angeles,0.38456333,0.4429366,0.17250004,0.4209237,0.30527323,0.11882241,0.15498069
15,15,2020-03-10,35,64,255,1232,11,1562,Los_Angeles,0.39096966,0.4065813,0.20244904,0.47192106,0.22104135,0.14337932,0.16365822
16,16,2020-03-11,31,24,31,319,6,380,Los_Angeles,0.360694,0.40343285,0.23587318,0.35634264,0.31704155,0.13575414,0.19086164
17,17,2020-03-12,65,57,108,1021,8,1194,Los_Angeles,0.33562693,0.42754915,0.23682392,0.34387115,0.3950845,0.088014744,0.17302963
18,18,2020-03-13,65,69,206,1137,15,1427,Los_Angeles,0.35809708,0.4398484,0.20205452,0.35795057,0.3342766,0.08743014,0.22034268
19,19,2020-03-14,52,43,44,628,2,717,Los_Angeles,0.4018432,0.42654273,0.17161402,0.41753718,0.29762664,0.10829338,0.17654285
20,20,2020-03-15,26,10,5,79,0,94,Los_Angeles,0.31732222,0.45370716,0.22897063,0.26424333,0.33342567,0.17331177,0.22901918
21,21,2020-03-16,46,34,29,351,2,416,Los_Angeles,0.38813916,0.42020777,0.19165315,0.39404437,0.30695304,0.08015601,0.21884663
22,22,2020-03-17,31,16,23,122,0,161,Los_Angeles,0.33294007,0.31283084,0.354229,0.3068306,0.3438456,0.1794752,0.1698486
23,23,2020-03-18,48,223,823,4801,74,5921,Los_Angeles,0.41691005,0.30372968,0.27936018,0.3434844,0.23650528,0.16350438,0.25650597
24,24,2020-03-19,29,10,1,70,1,82,Los_Angeles,0.2478642,0.44030824,0.31182757,0.28002506,0.40529972,0.14114831,0.17352685
25,25,2020-03-20,59,26,56,358,4,444,Los_Angeles,0.32980874,0.3789736,0.2912177,0.33925048,0.2779272,0.130279,0.25254324
26,26,2020-03-21,71,51,41,484,4,580,Los_Angeles,0.4071846,0.3728281,0.2199872,0.3699387,0.259327,0.15015833,0.22057608
27,27,2020-03-22,72,36,44,414,6,500,Los_Angeles,0.3304394,0.41845283,0.2511078,0.27670047,0.36447883,0.13393645,0.22488438
28,28,2020-03-23,55,64,59,1866,2,1991,Los_Angeles,0.28673914,0.4189969,0.2942639,0.32398725,0.26354784,0.20144212,0.21102273
29,29,2020-03-24,70,34,94,518,6,652,Los_Angeles,0.35834268,0.38884047,0.25281692,0.32835725,0.30622318,0.09344803,0.27197152
30,30,2020-03-25,61,45,697,2615,38,3395,Los_Angeles,0.27946717,0.42486602,0.29566693,0.26779568,0.3454178,0.15366343,0.23312315
31,31,2020-03-26,53,23,30,157,7,217,Los_Angeles,0.34831938,0.43173593,0.21994476,0.3465897,0.29403538,0.12216317,0.23721184
32,32,2020-03-27,74,69,65,468,17,619,Los_Angeles,0.31569794,0.34725857,0.33704367,0.2904435,0.31624928,0.19037557,0.20293167
33,33,2020-03-28,54,21,28,229,3,281,Los_Angeles,0.24996959,0.46035856,0.28967184,0.2352928,0.34874418,0.22254002,0.193423
34,34,2020-03-29,63,93,34,796,4,927,Los_Angeles,0.34104362,0.39397943,0.26497692,0.31469828,0.32163426,0.16268712,0.2009803
35,35,2020-03-30,61,34,37,319,8,398,Los_Angeles,0.32339334,0.4563716,0.22023514,0.36773264,0.2523264,0.17654309,0.20339781
36,36,2020-03-31,73,22,34,174,2,232,Los_Angeles,0.32165813,0.41369787,0.26464397,0.3204125,0.23078106,0.22252637,0.22628011
37,37,2020-04-01,66,42,28,298,4,372,Los_Angeles,0.2843532,0.42524058,0.29040617,0.27533528,0.35216448,0.19177443,0.18072586
38,38,2020-04-02,162,174,254,1070,48,1546,Los_Angeles,0.31509754,0.42040423,0.26449814,0.3011005,0.32267308,0.18771558,0.18851076
39,39,2020-04-03,190,242,345,2762,57,3406,Los_Angeles,0.341182,0.43020907,0.22860886,0.37546226,0.29464194,0.14092132,0.18897454
40,40,2020-04-04,185,157,208,1675,28,2068,Los_Angeles,0.29546914,0.41137806,0.29315275,0.2714958,0.34509498,0.18409976,0.19930951
41,41,2020-04-05,131,78,74,616,14,782,Los_Angeles,0.24291676,0.4272976,0.32978562,0.23585084,0.40737805,0.17705058,0.17972052
42,42,2020-04-06,139,79,109,827,9,1024,Los_Angeles,0.30755413,0.4242767,0.26816896,0.3127331,0.30056065,0.17741992,0.2092862
43,43,2020-04-07,128,613,376,4900,51,5940,Los_Angeles,0.28600848,0.41037574,0.3036157,0.2944776,0.33612525,0.18640164,0.18299562
44,44,2020-04-08,172,254,118,2228,17,2617,Los_Angeles,0.32982442,0.38635972,0.28381595,0.3629077,0.31756073,0.15248826,0.1670435
45,45,2020-04-09,125,71,56,477,6,610,Los_Angeles,0.29160818,0.36791506,0.34047678,0.29779607,0.38035437,0.15214808,0.16970156
46,46,2020-04-10,182,65,35,380,9,489,Los_Angeles,0.42124826,0.36160225,0.21714973,0.4118133,0.28767717,0.103701614,0.19680798
47,47,2020-04-11,148,83,63,592,85,823,Los_Angeles,0.3659587,0.37813026,0.25591117,0.37302896,0.32031772,0.12094978,0.18570367
48,48,2020-04-12,153,107,64,721,11,903,Los_Angeles,0.40934506,0.34966317,0.2409918,0.40887836,0.29199523,0.120981716,0.17814465
49,49,2020-04-13,100,75,191,996,19,1281,Los_Angeles,0.36297038,0.3666184,0.2704113,0.3207649,0.31736138,0.11362034,0.24825333
50,50,2020-04-14,157,75,82,1456,16,1629,Los_Angeles,0.37497854,0.38638756,0.23863383,0.3758965,0.29344013,0.1252248,0.2054384
51,51,2020-04-15,150,84,70,840,9,1003,Los_Angeles,0.37164074,0.3368792,0.29147992,0.36115763,0.3512959,0.11795429,0.16959214
52,52,2020-04-16,118,99,28,367,9,503,Los_Angeles,0.32560092,0.38670284,0.2876962,0.30404234,0.427385,0.110012144,0.1585606
53,53,2020-04-17,138,97,130,1212,6,1445,Los_Angeles,0.29923147,0.39881632,0.3019522,0.30408683,0.40577388,0.121135764,0.16900353
54,54,2020-04-18,167,95,166,1356,24,1641,Los_Angeles,0.3416683,0.38004142,0.2782903,0.35729104,0.3900988,0.09683849,0.15577148
55,55,2020-04-19,96,43,32,278,9,362,Los_Angeles,0.40875795,0.30443808,0.2868038,0.36149415,0.3697473,0.07165041,0.1971081
56,56,2020-04-20,112,64,50,488,9,611,Los_Angeles,0.30505702,0.3730387,0.32190433,0.3008124,0.4049216,0.13606177,0.15820423
57,57,2020-04-21,108,60,34,368,9,471,Los_Angeles,0.32172224,0.3693615,0.3089162,0.28890347,0.36613396,0.14295277,0.20200974
58,58,2020-04-22,108,27,36,369,4,436,Los_Angeles,0.32058108,0.4026481,0.2767707,0.35742107,0.36941937,0.12931517,0.14384446
59,59,2020-04-23,133,97,92,1066,17,1272,Los_Angeles,0.30996767,0.36131892,0.32871342,0.30251315,0.39380604,0.11327085,0.19040994
60,60,2020-04-24,108,146,111,2212,21,2490,Los_Angeles,0.3452113,0.343297,0.31149173,0.3348936,0.34270123,0.13033856,0.19206664
61,61,2020-04-25,87,39,29,288,7,363,Los_Angeles,0.28162628,0.43190244,0.2864713,0.3388928,0.41366756,0.11930558,0.12813394
62,62,2020-04-26,89,56,50,1019,9,1134,Los_Angeles,0.33189455,0.3723634,0.29574215,0.33016092,0.3428057,0.13669506,0.19033828
63,63,2020-04-27,89,240,114,1078,339,1771,Los_Angeles,0.24562117,0.38765472,0.36672398,0.23022535,0.46753642,0.13516015,0.167078
64,64,2020-04-28,151,171,229,1830,44,2274,Los_Angeles,0.42217278,0.39460486,0.18322212,0.45304814,0.2667,0.115938075,0.16431373
65,65,2020-04-29,137,160,331,2643,25,3159,Los_Angeles,0.38741916,0.38159773,0.23098317,0.41184253,0.29526627,0.124723725,0.16816743
66,66,2020-04-30,117,163,173,1443,16,1795,Los_Angeles,0.4136945,0.33511263,0.25119284,0.4113995,0.34364748,0.08325073,0.16170232
67,67,2020-05-01,116,65,50,454,8,577,Los_Angeles,0.3591731,0.31881806,0.32200882,0.37243173,0.3279314,0.1250674,0.17456964
68,68,2020-05-02,122,57,92,1233,17,1399,Los_Angeles,0.37960884,0.35570833,0.26468277,0.36766273,0.35920814,0.089584455,0.18354474
69,69,2020-05-03,104,101,83,2526,2,2712,Los_Angeles,0.338726,0.37914875,0.28212526,0.37528694,0.35794815,0.11972691,0.147038
70,70,2020-05-04,115,220,297,2472,35,3024,Los_Angeles,0.38290465,0.36442196,0.2526734,0.3976714,0.30316105,0.12088605,0.1782814
71,71,2020-05-05,105,103,435,912,66,1516,Los_Angeles,0.38101566,0.34940344,0.26958075,0.38760743,0.34560493,0.09805062,0.16873719
72,72,2020-05-06,118,289,1610,9197,110,11206,Los_Angeles,0.40641782,0.3575277,0.23605448,0.39024666,0.3782265,0.09301809,0.13850886
73,73,2020-05-07,137,104,175,2120,8,2407,Los_Angeles,0.37940177,0.37188593,0.24871227,0.386417,0.31660512,0.12621279,0.17076527
74,74,2020-05-08,147,64,45,705,3,817,Los_Angeles,0.37599543,0.3479928,0.2760117,0.40136775,0.29672486,0.13759628,0.1643109
75,75,2020-05-09,121,41,83,377,7,508,Los_Angeles,0.40062642,0.3423744,0.2569992,0.40408295,0.294754,0.13534552,0.16581751
76,76,2020-05-10,94,33,33,300,6,372,Los_Angeles,0.42504084,0.36560518,0.20935397,0.43970448,0.25464582,0.1320886,0.17356111
77,77,2020-05-11,105,82,215,2492,11,2800,Los_Angeles,0.41377512,0.38247797,0.20374711,0.43238857,0.25412837,0.1206911,0.19279206
78,78,2020-05-12,134,65,31,296,5,397,Los_Angeles,0.3484648,0.39444992,0.25708532,0.38195902,0.32734656,0.1286246,0.16206987
79,79,2020-05-13,116,106,225,1492,23,1846,Los_Angeles,0.37618706,0.36723593,0.25657696,0.43106955,0.29840508,0.13102314,0.13950232
80,80,2020-05-14,216,176,218,1856,28,2278,Los_Angeles,0.42159137,0.35893026,0.21947819,0.45564255,0.26204768,0.12537575,0.15693404
81,81,2020-05-15,156,170,103,1227,12,1512,Los_Angeles,0.35406813,0.36118758,0.2847442,0.36418608,0.3357539,0.12904476,0.17101528
82,82,2020-05-16,143,118,927,5232,59,6336,Los_Angeles,0.40975323,0.3533019,0.2369449,0.4242571,0.29683632,0.10225023,0.17665628
83,83,2020-05-17,135,180,213,2184,20,2597,Los_Angeles,0.4251501,0.3253136,0.24953616,0.44061974,0.3075681,0.095421344,0.1563909
84,84,2020-05-18,116,56,58,638,3,755,Los_Angeles,0.44198674,0.32696846,0.2310448,0.40765136,0.29448795,0.10779812,0.19006243
85,85,2020-05-19,139,163,918,2781,45,3907,Los_Angeles,0.3600344,0.35664296,0.28332248,0.3947862,0.30481482,0.12806138,0.17233768
86,86,2020-05-20,158,97,97,867,10,1071,Los_Angeles,0.39761057,0.3548073,0.24758194,0.43512794,0.29217196,0.11536917,0.15733089
87,87,2020-05-21,174,168,131,1258,21,1578,Los_Angeles,0.4706784,0.33718872,0.19213276,0.44763175,0.24284317,0.1051094,0.20441559
88,88,2020-05-22,146,122,91,958,14,1185,Los_Angeles,0.43023622,0.3549278,0.21483593,0.4297594,0.260362,0.109993555,0.19988509
89,89,2020-05-23,142,162,355,3019,32,3568,Los_Angeles,0.37568197,0.35050356,0.27381447,0.33961418,0.36330774,0.10705673,0.19002126
90,90,2020-05-24,138,107,87,677,11,882,Los_Angeles,0.39330602,0.33641016,0.27028388,0.42294216,0.3138018,0.10943052,0.15382536
91,91,2020-05-25,136,160,495,2811,37,3503,Los_Angeles,0.39331242,0.367116,0.23957148,0.38028464,0.29256272,0.13342573,0.19372684
92,92,2020-05-26,151,304,529,3401,41,4275,Los_Angeles,0.4226606,0.3564753,0.22086422,0.43255877,0.23097034,0.14615251,0.19031836
93,93,2020-05-27,138,63,40,1008,8,1119,Los_Angeles,0.43743563,0.3262463,0.23631795,0.46030146,0.24112159,0.11872453,0.17985256
94,94,2020-05-28,130,81,194,1098,17,1390,Los_Angeles,0.36146995,0.33979177,0.29873836,0.3880784,0.32282266,0.14012349,0.14897543
95,95,2020-05-29,108,94,154,1005,24,1277,Los_Angeles,0.3570526,0.3615299,0.28141752,0.38406122,0.35220718,0.09991697,0.16381477
96,96,2020-05-30,114,69,107,648,3,827,Los_Angeles,0.37320134,0.3275792,0.29921952,0.44351584,0.31180447,0.10607177,0.1386079
97,97,2020-05-31,74,28,97,493,2,620,Los_Angeles,0.3324667,0.39172283,0.27581048,0.42434606,0.23917039,0.19062886,0.14585456
98,98,2020-06-01,86,44,118,754,5,921,Los_Angeles,0.4162088,0.3307438,0.2530475,0.48955518,0.27107373,0.11639159,0.12297937
99,99,2020-06-02,38,20,652,2085,19,2776,Los_Angeles,0.3841709,0.36205828,0.25377083,0.4322961,0.35246506,0.123821475,0.09141748
100,100,2020-06-03,50,95,73,553,7,728,Los_Angeles,0.37848634,0.34911823,0.2723955,0.44530824,0.24667305,0.17482692,0.13319181
