,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,12,0,1,2,0,3,Los_Angeles,0.14681885,0.59481746,0.25836375,0.16991206,0.18193953,0.5106413,0.13750722
1,1,2020-02-25,13,23,25,57,4,109,Los_Angeles,0.35222948,0.407212,0.24055845,0.3352181,0.16798657,0.29438376,0.20241158
2,2,2020-02-26,5,2,0,4,0,6,Los_Angeles,0.25376144,0.51751953,0.228719,0.17939554,0.27054864,0.4602941,0.089761674
3,3,2020-02-27,17,20,18,128,2,168,Los_Angeles,0.59961295,0.26006198,0.14032501,0.490587,0.10344772,0.1439996,0.26196563
4,4,2020-02-28,23,50,845,1965,30,2890,Los_Angeles,0.42699546,0.48537403,0.08763048,0.3248538,0.12533759,0.31941038,0.23039813
5,5,2020-02-29,19,42,282,962,14,1300,Los_Angeles,0.40020326,0.4959896,0.10380719,0.26553527,0.21500239,0.31485045,0.2046119
6,6,2020-03-01,5,1,0,7,0,8,Los_Angeles,0.5791324,0.28194982,0.13891783,0.4669354,0.119638845,0.20348045,0.20994535
7,7,2020-03-02,15,6,1,6,0,13,Los_Angeles,0.30519912,0.45423076,0.24057022,0.2452703,0.20052671,0.36344144,0.19076155
8,8,2020-03-03,18,57,243,1040,12,1352,Los_Angeles,0.3415568,0.47312376,0.18531942,0.2891109,0.14113936,0.41712946,0.15262029
9,9,2020-03-04,15,14,41,228,2,285,Los_Angeles,0.4318233,0.42636424,0.14181241,0.36663395,0.16471419,0.30024102,0.16841072
10,10,2020-03-05,16,11,3,42,1,57,Los_Angeles,0.5149385,0.3071853,0.17787619,0.41685137,0.18386666,0.17875503,0.22052693
11,11,2020-03-06,18,10,11,144,0,165,Los_Angeles,0.25691947,0.48621988,0.2568607,0.24174844,0.17270884,0.42131722,0.1642255
12,12,2020-03-07,6,1,0,2,0,3,Los_Angeles,0.30198273,0.50436026,0.19365704,0.2942193,0.026696967,0.2986401,0.38044366
13,13,2020-03-08,15,34,24,137,6,201,Los_Angeles,0.31105223,0.5177515,0.17119622,0.26862174,0.110978924,0.36369696,0.25670233
14,14,2020-03-09,16,3,0,12,1,16,Los_Angeles,0.52779603,0.38279924,0.08940477,0.33384544,0.15414508,0.14850737,0.36350212
15,15,2020-03-10,15,17,33,162,3,215,Los_Angeles,0.61210364,0.3305814,0.057314973,0.5548016,0.097216144,0.16285357,0.18512869
16,16,2020-03-11,10,2,3,18,2,25,Los_Angeles,0.47798738,0.3912316,0.13078092,0.32126254,0.09062357,0.19044466,0.39766923
17,17,2020-03-12,30,14,19,47,1,81,Los_Angeles,0.55216205,0.31069264,0.13714536,0.5282183,0.14359303,0.14316589,0.18502277
18,18,2020-03-13,37,57,280,1165,12,1514,Los_Angeles,0.5203068,0.38576132,0.09393186,0.38638774,0.07134187,0.3010719,0.24119847
19,19,2020-03-14,33,16,45,272,4,337,Los_Angeles,0.2963909,0.4261937,0.27741545,0.24656025,0.25067818,0.36164704,0.1411145
20,20,2020-03-15,38,207,2258,5729,114,8308,Los_Angeles,0.39614847,0.4202243,0.18362717,0.33175048,0.14840944,0.28847092,0.23136905
21,21,2020-03-16,33,30,12,131,2,175,Los_Angeles,0.4296794,0.4334414,0.13687928,0.3595862,0.12955083,0.33511782,0.17574514
22,22,2020-03-17,35,10,4,60,0,74,Los_Angeles,0.47213674,0.40913332,0.11872995,0.42118213,0.12217486,0.2190011,0.23764196
