,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,1,0.0,0.0,0.0,0.0,0.0,Montreal,0.05353076383471489,0.8733096122741699,0.0731596052646637,0.12464059889316559,0.6130054593086243,0.1352124661207199,0.12714140117168427
1,1,2020-02-25,0,0.0,0.0,0.0,0.0,0.0,Montreal,0.05353076383471489,0.8733096122741699,0.0731596052646637,0.12464059889316559,0.6130054593086243,0.1352124661207199,0.12714140117168427
2,2,2020-02-26,0,0.0,0.0,0.0,0.0,0.0,Montreal,0.05353076383471489,0.8733096122741699,0.0731596052646637,0.12464059889316559,0.6130054593086243,0.1352124661207199,0.12714140117168427
3,3,2020-02-27,1,0.0,0.0,0.0,0.0,0.0,Montreal,0.10414242744445801,0.7517183423042297,0.14413918554782867,0.04252196103334427,0.8931379318237305,0.022630106657743454,0.04171022027730942
4,4,2020-02-28,1,0.0,0.0,0.0,0.0,0.0,Montreal,0.3690599501132965,0.5870856046676636,0.043854422867298126,0.6789082288742065,0.049797773361206055,0.02692456915974617,0.2443695068359375
5,5,2020-02-29,1,0.0,0.0,8.0,0.0,8.0,Montreal,0.9229991436004639,0.06951504945755005,0.007485790178179741,0.9794871211051941,0.006019924767315388,0.005570619832724333,0.008922492153942585
6,6,2020-03-01,1,0.0,0.0,1.0,0.0,1.0,Montreal,0.0014612035593017936,0.04258280247449875,0.9559561014175415,0.017339766025543213,0.9230284690856934,0.03514185547828674,0.02448992058634758
7,7,2020-03-02,1,2.0,0.0,0.0,0.0,2.0,Montreal,0.41042912006378174,0.5586125254631042,0.030958382412791252,0.05780633166432381,0.009328387677669525,0.023193413391709328,0.9096719622612
8,8,2020-03-03,0,0.0,0.0,0.0,0.0,0.0,Montreal,0.41042912006378174,0.5586125254631042,0.030958382412791252,0.05780633166432381,0.009328387677669525,0.023193413391709328,0.9096719622612
9,9,2020-03-04,1,0.0,0.0,0.0,0.0,0.0,Montreal,0.3567201495170593,0.5594952702522278,0.08378460258245468,0.08444471657276154,0.12411221861839294,0.017770469188690186,0.7736724615097046
10,10,2020-03-05,1,0.0,0.0,0.0,0.0,0.0,Montreal,0.3034433126449585,0.4239824414253235,0.27257421612739563,0.093070849776268,0.06829779595136642,0.6783138513565063,0.16031749546527863
11,11,2020-03-06,0,0.0,0.0,0.0,0.0,0.0,Montreal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,2020-03-07,0,0.0,0.0,0.0,0.0,0.0,Montreal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,2020-03-08,1,1.0,0.0,0.0,0.0,1.0,Montreal,0.921381950378418,0.07216646522283554,0.0064514377154409885,0.936941921710968,0.006741106044501066,0.017932038754224777,0.03838501125574112
14,14,2020-03-09,2,1.0,0.0,0.0,0.0,1.0,Montreal,0.597653865814209,0.3730665147304535,0.029279658570885658,0.3564722239971161,0.02990349382162094,0.05996306985616684,0.5536612272262573
15,15,2020-03-10,1,0.0,0.0,0.0,0.0,0.0,Montreal,0.1511465460062027,0.6624857187271118,0.18636773526668549,0.04195728525519371,0.015450837090611458,0.8429728746414185,0.09961908310651779
16,16,2020-03-11,2,1.0,3.0,6.0,0.0,10.0,Montreal,0.06508028507232666,0.47286051511764526,0.46205925941467285,0.1284978836774826,0.253988653421402,0.34100767970085144,0.2765057682991028
17,17,2020-03-12,1,11.0,2.0,67.0,2.0,82.0,Montreal,0.298408567905426,0.5766563415527344,0.12493501603603363,0.15564313530921936,0.49255287647247314,0.12761446833610535,0.22418951988220215
18,18,2020-03-13,4,1.0,1.0,5.0,0.0,7.0,Montreal,0.45229804515838623,0.4668692350387573,0.08083274960517883,0.7261189818382263,0.039872828871011734,0.19380970299243927,0.04019855707883835
19,19,2020-03-14,1,1.0,0.0,0.0,0.0,1.0,Montreal,0.4109044373035431,0.43808525800704956,0.15101024508476257,0.3424704372882843,0.01823294535279274,0.06525509804487228,0.5740414261817932
20,20,2020-03-15,4,3.0,6.0,13.0,4.0,26.0,Montreal,0.17889413237571716,0.4461437463760376,0.37496212124824524,0.23745383322238922,0.21159201860427856,0.46538877487182617,0.08556534349918365
21,21,2020-03-16,2,0.0,0.0,1.0,0.0,1.0,Montreal,0.2612255811691284,0.6307252645492554,0.10804922133684158,0.4467846751213074,0.3863372802734375,0.07570242136716843,0.0911756306886673
