,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,10,23,44,116,3,186,New_York,0.3124974,0.44952098,0.23798165,0.12381749,0.24071947,0.20635572,0.42910734
1,1,2020-02-25,5,5,2,19,0,26,New_York,0.26837546,0.3879009,0.34372362,0.24227178,0.2630442,0.21282427,0.2818597
2,2,2020-02-26,9,2,1,10,1,14,New_York,0.42730433,0.39575,0.17694566,0.3228851,0.1485002,0.17005341,0.35856134
3,3,2020-02-27,18,8,23,36,4,71,New_York,0.45790434,0.37712085,0.1649749,0.26495463,0.12897158,0.26916912,0.33690462
4,4,2020-02-28,26,6,11,27,1,45,New_York,0.40163976,0.39878157,0.19957869,0.4684735,0.117387615,0.21104194,0.2030969
5,5,2020-02-29,53,18,70,163,8,259,New_York,0.48122966,0.38656518,0.1322051,0.4210461,0.106574744,0.16599153,0.3063876
6,6,2020-03-01,31,8,13,72,1,94,New_York,0.34682384,0.39409125,0.25908485,0.33924973,0.15771972,0.25267613,0.25035438
7,7,2020-03-02,81,36,108,301,8,453,New_York,0.3869368,0.42175198,0.19131109,0.31607038,0.14192964,0.19164228,0.35035765
8,8,2020-03-03,61,46,137,1463,16,1662,New_York,0.38416165,0.36769226,0.24814612,0.30665407,0.18100831,0.19315457,0.31918314
9,9,2020-03-04,54,31,101,419,22,573,New_York,0.46506885,0.33467746,0.20025368,0.3357407,0.13451336,0.18834582,0.34140012
10,10,2020-03-05,72,36,81,294,6,417,New_York,0.35111186,0.3986967,0.2501914,0.25662228,0.13442752,0.25448602,0.3544641
11,11,2020-03-06,75,39,51,270,5,365,New_York,0.4202908,0.3354712,0.2442379,0.37121737,0.19679126,0.19911928,0.23287208
12,12,2020-03-07,119,377,451,2825,257,3910,New_York,0.40664023,0.35155907,0.2418007,0.3423598,0.14361401,0.22504349,0.28898272
13,13,2020-03-08,98,83,661,2806,22,3572,New_York,0.4019301,0.39537102,0.20269886,0.30238703,0.20737523,0.19980146,0.29043624
14,14,2020-03-09,148,219,1112,3424,66,4821,New_York,0.39089504,0.37038156,0.2387235,0.3286302,0.1588431,0.20693332,0.30559325
15,15,2020-03-10,176,236,1297,6305,162,8000,New_York,0.33754268,0.44196093,0.2204962,0.26189256,0.15409781,0.25585786,0.32815173
16,16,2020-03-11,317,252,1060,5751,96,7159,New_York,0.32807833,0.44199407,0.22992738,0.26115155,0.16592479,0.26214603,0.3107777
17,17,2020-03-12,396,240,573,2405,67,3285,New_York,0.36998448,0.39147234,0.2385431,0.31739423,0.16112532,0.24196966,0.27951086
18,18,2020-03-13,381,322,916,4152,82,5472,New_York,0.36931568,0.3740563,0.2566278,0.37110117,0.15141664,0.22894283,0.24853946
19,19,2020-03-14,309,601,1055,4444,118,6218,New_York,0.32483467,0.39195216,0.28321335,0.2933267,0.18565394,0.2572707,0.26374853
20,20,2020-03-15,386,611,1076,5716,166,7569,New_York,0.33907363,0.38757962,0.27334663,0.30485383,0.18616214,0.22967455,0.27930933
21,21,2020-03-16,592,539,971,5430,110,7050,New_York,0.31282973,0.40392306,0.28324726,0.25989112,0.18878376,0.26266605,0.28865886
22,22,2020-03-17,571,391,1535,6407,123,8456,New_York,0.30045596,0.37697524,0.3225688,0.2522574,0.21007806,0.26584342,0.2718212
23,23,2020-03-18,619,426,1189,3532,160,5307,New_York,0.29781008,0.38146323,0.32072684,0.26648384,0.19406953,0.28421775,0.2552289
24,24,2020-03-19,555,312,1474,5953,162,7901,New_York,0.2713821,0.39540154,0.33321628,0.23448275,0.22271033,0.29189512,0.25091162
25,25,2020-03-20,490,219,774,2717,88,3798,New_York,0.31125998,0.3873441,0.30139592,0.28816262,0.193642,0.2783109,0.23988414
26,26,2020-03-21,305,277,850,2973,124,4224,New_York,0.32159495,0.3950106,0.2833947,0.28223035,0.20839024,0.24245958,0.26691973
27,27,2020-03-22,446,615,1420,8154,222,10411,New_York,0.28818682,0.3778559,0.33395705,0.2545727,0.20701309,0.29178149,0.24663265
28,28,2020-03-23,505,824,1258,5191,132,7405,New_York,0.34015414,0.34799314,0.31185275,0.28634524,0.20175461,0.25376442,0.25813565
29,29,2020-03-24,551,613,843,4875,131,6462,New_York,0.3324059,0.38467887,0.2829146,0.27959454,0.19258274,0.26615077,0.2616719
30,30,2020-03-25,485,951,4391,15128,415,20885,New_York,0.30180702,0.37070563,0.327487,0.24757859,0.1900387,0.27779517,0.28458768
31,31,2020-03-26,409,681,1435,8940,101,11157,New_York,0.3253146,0.36267018,0.31201503,0.24475662,0.20836101,0.26276323,0.2841192
32,32,2020-03-27,544,458,1416,4897,162,6933,New_York,0.3073629,0.3715346,0.32110265,0.24141918,0.21204242,0.25459385,0.29194477
33,33,2020-03-28,487,487,1495,8087,164,10233,New_York,0.29339305,0.35860482,0.34800228,0.23664324,0.21675359,0.26354927,0.28305387
34,34,2020-03-29,325,305,671,3198,68,4242,New_York,0.3589512,0.33814424,0.30290434,0.2960913,0.2013912,0.24355932,0.25895816
35,35,2020-03-30,491,356,1284,4294,145,6079,New_York,0.28790194,0.3590411,0.35305658,0.23768793,0.2502641,0.23472235,0.27732557
36,36,2020-03-31,588,436,4330,13353,404,18523,New_York,0.30819234,0.34609228,0.3457151,0.2698009,0.24220833,0.22615829,0.2618324
37,37,2020-04-01,416,808,2104,7007,481,10400,New_York,0.3199336,0.3564831,0.32358316,0.26651856,0.22454077,0.25442395,0.2545166
38,38,2020-04-02,413,327,470,2034,60,2891,New_York,0.2851675,0.36956868,0.3452636,0.25181723,0.25619322,0.2651747,0.22681467
39,39,2020-04-03,439,493,1356,7126,110,9085,New_York,0.33710527,0.36060596,0.3022888,0.27272853,0.22503164,0.22752422,0.27471542
40,40,2020-04-04,410,368,800,3743,166,5077,New_York,0.34105295,0.3418195,0.31712785,0.30633223,0.23552571,0.21713723,0.24100465
41,41,2020-04-05,293,438,3366,11667,229,15700,New_York,0.31519058,0.33434454,0.35046494,0.24519426,0.27193028,0.23094779,0.25192767
42,42,2020-04-06,390,403,1428,5454,180,7465,New_York,0.3275163,0.3529264,0.31955755,0.27268496,0.2136645,0.25083312,0.26281705
43,43,2020-04-07,431,237,540,3133,63,3973,New_York,0.30886674,0.35295433,0.3381787,0.2631929,0.22190477,0.25774428,0.257158
44,44,2020-04-08,416,449,1198,4346,130,6123,New_York,0.30652183,0.3545248,0.3389532,0.24985005,0.25096962,0.24460562,0.2545748
45,45,2020-04-09,304,274,1282,5245,95,6896,New_York,0.35361424,0.33385825,0.31252748,0.29840502,0.24435586,0.21572539,0.24151376
46,46,2020-04-10,296,113,506,2583,36,3238,New_York,0.28301644,0.33556145,0.38142195,0.23786227,0.27143753,0.25594237,0.23475778
47,47,2020-04-11,217,129,253,2459,33,2874,New_York,0.24493933,0.36955294,0.38550785,0.19379522,0.2735198,0.26498806,0.26769674
48,48,2020-04-12,250,230,765,4020,55,5070,New_York,0.23753168,0.3608448,0.4016235,0.17328857,0.33287856,0.24269532,0.25113782
49,49,2020-04-13,353,267,655,2432,80,3434,New_York,0.32781413,0.3557407,0.316445,0.2782905,0.23253028,0.22481085,0.26436815
50,50,2020-04-14,366,219,1097,4475,75,5866,New_York,0.3089539,0.34487128,0.34617487,0.25786245,0.24789098,0.25931692,0.23492953
51,51,2020-04-15,398,429,2982,12668,227,16306,New_York,0.30859762,0.36143735,0.3299649,0.27266565,0.25562698,0.23913395,0.23257338
52,52,2020-04-16,331,172,390,1725,50,2337,New_York,0.27725124,0.35798645,0.36476257,0.22993857,0.27415574,0.2443003,0.2516056
53,53,2020-04-17,331,157,1058,4068,90,5373,New_York,0.30169845,0.31242794,0.38587373,0.2125157,0.2841601,0.24552512,0.25779915
54,54,2020-04-18,214,303,1073,5831,84,7291,New_York,0.35468772,0.30831778,0.33699453,0.31549376,0.26150417,0.20884095,0.21416134
55,55,2020-04-19,292,142,384,2184,24,2734,New_York,0.29929522,0.35635072,0.3443541,0.25202814,0.2724569,0.24622533,0.22928956
56,56,2020-04-20,292,156,396,1822,43,2417,New_York,0.31012374,0.34994605,0.3399305,0.2792508,0.25627726,0.22797737,0.23649448
57,57,2020-04-21,281,236,1574,4809,228,6847,New_York,0.26533353,0.35157958,0.38308704,0.22247894,0.28471398,0.23320195,0.25960505
58,58,2020-04-22,283,133,325,1235,34,1727,New_York,0.26908186,0.35906333,0.37185457,0.21177416,0.27326462,0.2700073,0.24495387
59,59,2020-04-23,298,135,334,1487,42,1998,New_York,0.30286092,0.33600622,0.361133,0.2316439,0.25895333,0.2474823,0.26192048
60,60,2020-04-24,280,180,452,2156,37,2825,New_York,0.26771858,0.31416145,0.4181201,0.24088265,0.27723724,0.26604182,0.21583825
61,61,2020-04-25,201,961,614,5016,197,6788,New_York,0.25933924,0.3313933,0.40926751,0.21358627,0.3308925,0.2423253,0.21319576
62,62,2020-04-26,174,190,559,3791,42,4582,New_York,0.23557058,0.36375532,0.40067428,0.18386395,0.34545097,0.20409751,0.26658756
63,63,2020-04-27,269,188,459,1849,52,2548,New_York,0.2867908,0.34711093,0.36609858,0.24621406,0.27435854,0.25259978,0.2268277
64,64,2020-04-28,375,433,2043,8129,180,10785,New_York,0.26884028,0.2821605,0.44899878,0.21602905,0.3663972,0.20588054,0.21169302
65,65,2020-04-29,292,133,359,1648,35,2175,New_York,0.25377572,0.33517328,0.41105106,0.21114397,0.29948044,0.25789446,0.23148106
66,66,2020-04-30,278,137,419,1532,46,2134,New_York,0.26404068,0.32547256,0.4104867,0.21143809,0.31288755,0.23332931,0.24234478
67,67,2020-05-01,204,99,635,2308,52,3094,New_York,0.19277255,0.34323984,0.4639879,0.15148944,0.35147038,0.26403746,0.23300265
68,68,2020-05-02,162,101,251,1444,39,1835,New_York,0.21760319,0.37844768,0.40394926,0.17819828,0.36961865,0.22432604,0.227857
69,69,2020-05-03,154,115,854,1398,27,2394,New_York,0.22265385,0.32271704,0.45462903,0.17423683,0.37686452,0.22199757,0.22690096
70,70,2020-05-04,162,303,552,3205,57,4117,New_York,0.2270815,0.4075805,0.36533788,0.2018848,0.30119687,0.26943055,0.22748773
71,71,2020-05-05,248,981,432,4141,151,5705,New_York,0.2652342,0.3376673,0.3970986,0.22459622,0.3142975,0.24752188,0.2135844
72,72,2020-05-06,206,156,236,1118,41,1551,New_York,0.26621944,0.3494556,0.3843251,0.22201064,0.299564,0.24789378,0.23053159
73,73,2020-05-07,274,124,292,1407,38,1861,New_York,0.19620453,0.3082444,0.4955511,0.16339423,0.3545957,0.28712606,0.19488421
74,74,2020-05-08,194,59,222,951,21,1253,New_York,0.2921571,0.33274782,0.37509513,0.21966301,0.2521739,0.29523203,0.23293114
75,75,2020-05-09,247,120,291,1053,26,1490,New_York,0.20705444,0.34994677,0.44299904,0.19175963,0.31219655,0.30323273,0.19281116
