,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,10,5,1,15,0,21,New_York,0.34004775,0.36070484,0.29924744,0.48822546,0.32753626,0.11673001,0.06750831
1,1,2020-02-25,17,27,30,624,6,687,New_York,0.2610293,0.44031936,0.29865122,0.1941856,0.46106356,0.10724298,0.23750791
2,2,2020-02-26,32,19,5,43,1,68,New_York,0.29434428,0.49285287,0.21280289,0.30999905,0.33687252,0.10467382,0.24845462
3,3,2020-02-27,29,16,5,79,1,101,New_York,0.45842952,0.38399035,0.15758015,0.37339222,0.2556918,0.1298708,0.24104512
4,4,2020-02-28,32,10,4,34,1,49,New_York,0.35236904,0.4685854,0.1790455,0.2866606,0.3658337,0.09970312,0.24780256
5,5,2020-02-29,12,1,1,3,0,5,New_York,0.2615917,0.34957877,0.3888295,0.20685023,0.35855436,0.16802657,0.26656887
6,6,2020-03-01,27,10,14,93,3,120,New_York,0.39241722,0.34161994,0.26596284,0.30730674,0.41228232,0.11039867,0.1700123
7,7,2020-03-02,38,30,13,128,3,174,New_York,0.4061315,0.38699386,0.20687465,0.34490147,0.24357499,0.11769018,0.29383343
8,8,2020-03-03,47,20,18,144,0,182,New_York,0.36801594,0.4588283,0.17315577,0.3544134,0.25411844,0.13148132,0.2599868
9,9,2020-03-04,48,27,13,111,5,156,New_York,0.42270958,0.40171084,0.17557965,0.3833166,0.30518183,0.086089194,0.22541249
10,10,2020-03-05,40,20,15,194,0,229,New_York,0.4057869,0.3635695,0.23064356,0.33625585,0.305978,0.102880895,0.25488526
11,11,2020-03-06,62,38,139,986,6,1169,New_York,0.42792404,0.39831293,0.17376299,0.39854962,0.31740627,0.06761371,0.21643032
12,12,2020-03-07,31,24,23,174,1,222,New_York,0.47545922,0.31311497,0.2114258,0.47992834,0.21731268,0.08022601,0.22253297
13,13,2020-03-08,30,21,16,200,7,244,New_York,0.3596594,0.43278515,0.20755552,0.3794381,0.28024977,0.11515818,0.22515394
14,14,2020-03-09,48,19,7,63,6,95,New_York,0.35559615,0.45509204,0.18931182,0.2983693,0.33951116,0.097736895,0.2643827
15,15,2020-03-10,45,64,24,431,17,536,New_York,0.4862719,0.37669653,0.13703163,0.48578954,0.20166253,0.10471932,0.20782852
16,16,2020-03-11,49,21,11,349,1,382,New_York,0.33036616,0.4460625,0.22357138,0.28859568,0.3348201,0.120262936,0.2563213
17,17,2020-03-12,71,32,18,230,3,283,New_York,0.44599226,0.35859516,0.19541256,0.37331814,0.28516057,0.07781214,0.26370916
18,18,2020-03-13,77,34,16,210,9,269,New_York,0.4169691,0.39820427,0.18482642,0.33645144,0.24228671,0.1276877,0.2935741
19,19,2020-03-14,58,77,30,794,5,906,New_York,0.3723373,0.45480663,0.17285602,0.35986298,0.3150171,0.1396553,0.18546456
20,20,2020-03-15,60,83,191,1694,32,2000,New_York,0.4233987,0.40896553,0.1676357,0.4129239,0.26394758,0.093184695,0.2299439
21,21,2020-03-16,49,11,7,58,1,77,New_York,0.38509393,0.4175307,0.19737537,0.36257735,0.30794206,0.10742406,0.22205651
