,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,1,1,0,0,0,1,New_York,0.03465315,0.2998505,0.66549635,0.062645786,0.07198453,0.8276593,0.037710328
1,1,2020-02-25,10,4,5,27,1,37,New_York,0.40862456,0.34123367,0.2501418,0.3307193,0.14580594,0.37307853,0.1503961
2,2,2020-02-26,14,9,6,21,0,36,New_York,0.6164364,0.31855303,0.06501051,0.2991362,0.03994606,0.2547048,0.40621287
3,3,2020-02-27,24,68,966,4613,44,5691,New_York,0.4572773,0.37734354,0.16537908,0.35541788,0.08451432,0.32332644,0.23674136
4,4,2020-02-28,28,556,729,3491,64,4840,New_York,0.40292236,0.442357,0.15472052,0.4025232,0.1489265,0.28964993,0.15890035
5,5,2020-02-29,16,4,6,29,0,39,New_York,0.48786795,0.4239389,0.08819319,0.41843632,0.052440263,0.22621599,0.30290744
6,6,2020-03-01,10,4,1,12,0,17,New_York,0.4463953,0.3185768,0.23502788,0.37900418,0.18203929,0.1931972,0.2457593
7,7,2020-03-02,17,5,1,30,0,36,New_York,0.59053373,0.31899497,0.09047128,0.49191308,0.053046633,0.18390618,0.27113417
8,8,2020-03-03,30,5,32,87,0,124,New_York,0.55285734,0.30556008,0.14158262,0.49987614,0.07851092,0.22825176,0.19336122
9,9,2020-03-04,25,12,17,96,4,129,New_York,0.53569037,0.31326365,0.15104598,0.46020493,0.09046997,0.20613316,0.24319194
10,10,2020-03-05,18,12,12,61,1,86,New_York,0.61905485,0.30866957,0.07227566,0.39450327,0.047326848,0.21406919,0.34410062
11,11,2020-03-06,26,9,4,41,1,55,New_York,0.42552087,0.42769018,0.14678894,0.36066377,0.0505684,0.32833597,0.26043183
12,12,2020-03-07,9,6,2,62,1,71,New_York,0.5487459,0.3025019,0.1487522,0.40391833,0.026274925,0.12764342,0.44216335
13,13,2020-03-08,22,14,9,109,0,132,New_York,0.49178788,0.35168773,0.15652433,0.27502143,0.054436322,0.22796535,0.44257686
14,14,2020-03-09,18,2,11,48,3,64,New_York,0.31980398,0.47344145,0.20675458,0.25463143,0.11816381,0.38380444,0.2434003
15,15,2020-03-10,33,36,100,628,9,773,New_York,0.50671625,0.37949926,0.11378453,0.4859226,0.061752144,0.20447825,0.24784704
16,16,2020-03-11,23,7,2,30,0,39,New_York,0.59101707,0.3340137,0.074969225,0.39234874,0.05726524,0.17259881,0.3777872
17,17,2020-03-12,57,32,37,282,4,355,New_York,0.4098834,0.4319657,0.15815096,0.3540559,0.15076129,0.27671605,0.21846665
18,18,2020-03-13,42,12,11,75,2,100,New_York,0.43618053,0.428949,0.1348705,0.4355128,0.15761462,0.15857744,0.24829513
19,19,2020-03-14,29,22,143,617,6,788,New_York,0.46448553,0.44058904,0.09492543,0.3598182,0.07242805,0.2728517,0.29490203
20,20,2020-03-15,35,48,237,439,28,752,New_York,0.57735294,0.37620178,0.046445206,0.5632911,0.08258654,0.17671666,0.17740573
21,21,2020-03-16,44,17,44,241,5,307,New_York,0.42498776,0.48267773,0.09233458,0.43145674,0.137856,0.21372432,0.21696295
22,22,2020-03-17,54,48,204,576,15,843,New_York,0.4456867,0.3973971,0.15691616,0.3371522,0.15525514,0.27141246,0.23618022
23,23,2020-03-18,31,84,296,625,52,1057,New_York,0.36712033,0.46986732,0.16301239,0.31989443,0.10237436,0.3954691,0.18226212
24,24,2020-03-19,32,8,6,145,0,159,New_York,0.5155026,0.38156417,0.10293332,0.40588632,0.10426571,0.20793182,0.2819161
25,25,2020-03-20,30,14,19,128,2,163,New_York,0.5233537,0.34561262,0.13103367,0.36475804,0.105583705,0.23434931,0.2953089
26,26,2020-03-21,24,19,54,118,4,195,New_York,0.5386611,0.35830712,0.103031725,0.4946498,0.06948873,0.21714918,0.21871227
27,27,2020-03-22,32,68,36,508,2,614,New_York,0.4084669,0.4630763,0.12845683,0.5104446,0.04782332,0.22392854,0.21780357
28,28,2020-03-23,26,16,50,188,7,261,New_York,0.4706381,0.3420037,0.18735817,0.40610653,0.07261917,0.2880246,0.23324966
29,29,2020-03-24,25,11,16,39,0,66,New_York,0.46461734,0.3429462,0.19243658,0.37412125,0.13671261,0.25771192,0.23145418
30,30,2020-03-25,20,5,13,46,0,64,New_York,0.38016376,0.4363226,0.18351361,0.26967221,0.10099937,0.34694478,0.28238362
31,31,2020-03-26,20,7,30,139,1,177,New_York,0.3099231,0.5109699,0.17910708,0.28133827,0.17987433,0.34522372,0.19356363
32,32,2020-03-27,19,13,3,91,2,109,New_York,0.49777025,0.41736898,0.084860735,0.39435214,0.06290287,0.25762656,0.2851184
33,33,2020-03-28,19,8,4,115,1,128,New_York,0.3946092,0.3845833,0.22080751,0.33907664,0.12428482,0.3547962,0.18184236
34,34,2020-03-29,25,14,6,45,1,66,New_York,0.5016181,0.41899568,0.07938621,0.5188864,0.0363661,0.21440832,0.23033911
35,35,2020-03-30,20,8,9,27,1,45,New_York,0.42502016,0.39092916,0.18405062,0.23207346,0.17433167,0.32637638,0.26721847
36,36,2020-03-31,23,13,1,14,0,28,New_York,0.5891642,0.37242836,0.038407482,0.3901668,0.06896479,0.13720152,0.4036669
37,37,2020-04-01,26,9,14,80,4,107,New_York,0.42868933,0.43896592,0.13234474,0.43411854,0.075523384,0.29876375,0.19159447
