,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,2,0,0,0,0,0,Seattle,0.7625718,0.18659395,0.050834164,0.41293657,0.0057332404,0.019607129,0.56172305
1,1,2020-02-25,2,1,3,15,0,19,Seattle,0.6546348,0.29111645,0.054248728,0.11004211,0.0744828,0.34711385,0.46836123
2,2,2020-02-26,8,6,3,12,0,21,Seattle,0.656115,0.21171513,0.1321698,0.48430002,0.0359201,0.24471323,0.23506665
3,3,2020-02-27,5,2,3,14,0,19,Seattle,0.5297569,0.39853314,0.07170997,0.310503,0.056460284,0.27848202,0.3545547
4,4,2020-02-28,8,8,6,33,2,49,Seattle,0.3565229,0.34257656,0.30090052,0.28041273,0.2467252,0.1675308,0.30533126
5,5,2020-02-29,25,54,271,356,41,722,Seattle,0.4106864,0.4124441,0.17686944,0.16913532,0.13665201,0.23085368,0.463359
6,6,2020-03-01,31,21,127,266,9,423,Seattle,0.33580822,0.4368819,0.22730988,0.18834612,0.12688722,0.2699356,0.414831
7,7,2020-03-02,54,110,575,861,76,1622,Seattle,0.3821554,0.46588823,0.1519563,0.19341299,0.16487399,0.20313428,0.43857867
8,8,2020-03-03,41,45,118,239,17,419,Seattle,0.4816075,0.39823642,0.1201561,0.28149495,0.069703095,0.17088294,0.4779191
9,9,2020-03-04,25,17,45,119,4,185,Seattle,0.35382953,0.44558173,0.20058863,0.17593423,0.13391876,0.25447398,0.43567294
10,10,2020-03-05,56,93,362,793,40,1288,Seattle,0.40697107,0.3642772,0.22875166,0.29237333,0.11192857,0.24184021,0.35385793
11,11,2020-03-06,53,21,77,357,19,474,Seattle,0.27265286,0.4489493,0.2783978,0.2024022,0.16058496,0.27205646,0.36495647
12,12,2020-03-07,50,73,381,1066,35,1555,Seattle,0.35834464,0.41405728,0.22759801,0.24809183,0.13230407,0.2893972,0.33020687
13,13,2020-03-08,52,40,158,443,14,655,Seattle,0.35920876,0.3917128,0.24907842,0.23294577,0.18754888,0.28478757,0.29471776
14,14,2020-03-09,36,39,259,505,33,836,Seattle,0.2669874,0.35833558,0.37467706,0.1635266,0.1937557,0.343013,0.2997047
15,15,2020-03-10,60,66,266,923,15,1270,Seattle,0.3429135,0.36264423,0.29444224,0.26373085,0.20379081,0.27514893,0.25732943
16,16,2020-03-11,120,136,602,1504,66,2308,Seattle,0.35108358,0.38604632,0.26287013,0.25510445,0.11452661,0.26756728,0.3628016
17,17,2020-03-12,123,108,248,887,39,1282,Seattle,0.3446907,0.39162013,0.26368925,0.2552696,0.19767693,0.26191548,0.28513792
18,18,2020-03-13,133,90,296,906,29,1321,Seattle,0.3030617,0.34238055,0.3545575,0.2668895,0.20791028,0.2684068,0.25679338
19,19,2020-03-14,79,63,187,1622,21,1893,Seattle,0.2957547,0.3616202,0.34262523,0.24468847,0.17452832,0.32125875,0.25952452
20,20,2020-03-15,85,30,66,263,4,363,Seattle,0.29516926,0.39050576,0.31432495,0.25554037,0.21789356,0.27819374,0.24837232
21,21,2020-03-16,114,76,132,991,11,1210,Seattle,0.2399085,0.4339613,0.32613012,0.27857348,0.21217704,0.2897243,0.21952529
22,22,2020-03-17,111,105,842,2062,53,3062,Seattle,0.32350388,0.37561134,0.3008849,0.24154614,0.19207327,0.24833646,0.31804413
23,23,2020-03-18,128,47,130,397,13,587,Seattle,0.29939672,0.35559073,0.3450127,0.23087567,0.24799801,0.21281122,0.30831525
24,24,2020-03-19,125,50,160,542,22,774,Seattle,0.2461932,0.37034252,0.38346416,0.21825223,0.27034733,0.29831445,0.21308605
25,25,2020-03-20,98,48,87,339,10,484,Seattle,0.29022413,0.33436885,0.375407,0.22327408,0.2760965,0.26115033,0.23947902
26,26,2020-03-21,67,37,84,288,5,414,Seattle,0.28803083,0.35849145,0.35347766,0.2154507,0.23846895,0.23312108,0.31295922
27,27,2020-03-22,72,33,113,352,13,511,Seattle,0.29360753,0.34935668,0.3570358,0.2409826,0.19648688,0.29375428,0.2687762
28,28,2020-03-23,84,48,90,358,9,505,Seattle,0.32581145,0.40187716,0.27231136,0.23335512,0.18735367,0.2782022,0.301089
