,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,1,1,0,2,0,3,Seattle,0.066586256,0.4449998,0.48841396,0.054603152,0.8597817,0.052058898,0.03355628
1,1,2020-02-25,0,0,0,0,0,0,Seattle,0.066586256,0.4449998,0.48841396,0.054603152,0.8597817,0.052058898,0.03355628
2,2,2020-02-26,4,2,0,3,0,5,Seattle,0.30226406,0.3809767,0.31675923,0.17970815,0.43664134,0.077356674,0.30629385
3,3,2020-02-27,3,3,2,3,0,8,Seattle,0.315536,0.57236814,0.11209587,0.39695764,0.085931234,0.3122032,0.20490797
4,4,2020-02-28,3,10,0,22,0,32,Seattle,0.37881228,0.54261756,0.078570135,0.11242342,0.26291168,0.22096883,0.40369603
5,5,2020-02-29,7,6,2,22,1,31,Seattle,0.329798,0.46656412,0.20363787,0.24544513,0.08079843,0.282123,0.39163345
6,6,2020-03-01,6,9,8,61,1,79,Seattle,0.5264542,0.3763535,0.097192355,0.24733727,0.19830227,0.182604,0.37175646
7,7,2020-03-02,7,1,0,6,0,7,Seattle,0.47478977,0.4388353,0.08637498,0.1852813,0.2817618,0.13021456,0.40274233
8,8,2020-03-03,9,9,18,47,3,77,Seattle,0.55851245,0.34224483,0.099242635,0.42660546,0.11932353,0.10149639,0.35257462
9,9,2020-03-04,9,9,0,6,0,15,Seattle,0.41037703,0.42164594,0.16797705,0.3304321,0.27499655,0.139764,0.25480735
10,10,2020-03-05,13,4,5,9,0,18,Seattle,0.33973554,0.41873753,0.2415269,0.3115148,0.3461057,0.06566425,0.27671522
11,11,2020-03-06,15,29,35,119,6,189,Seattle,0.45159116,0.46566352,0.08274535,0.45026416,0.1925763,0.11559171,0.24156782
12,12,2020-03-07,6,1,1,13,0,15,Seattle,0.4721957,0.23989637,0.28790796,0.4670917,0.41029096,0.04943886,0.07317852
13,13,2020-03-08,5,0,0,12,0,12,Seattle,0.4447441,0.39595038,0.15930554,0.44472414,0.2779925,0.17368074,0.10360263
14,14,2020-03-09,5,1,5,15,1,22,Seattle,0.61305076,0.35616526,0.030783962,0.45284277,0.17934264,0.051329136,0.31648543
15,15,2020-03-10,6,1,0,6,0,7,Seattle,0.20838262,0.5718817,0.21973561,0.24025463,0.2074434,0.23367159,0.3186304
16,16,2020-03-11,6,3,1,22,0,26,Seattle,0.50925636,0.39301634,0.09772732,0.25161278,0.16117175,0.017045978,0.5701695
