,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,0,0,0,0,0,0,Seattle,0,0,0,0,0,0,0
1,1,2020-02-25,0,0,0,0,0,0,Seattle,0,0,0,0,0,0,0
2,2,2020-02-26,4,1,0,1,0,2,Seattle,0.31470173597335815,0.5813037157058716,0.10399453341960907,0.24519018828868866,0.20291674137115479,0.35449889302253723,0.19739411771297455
3,3,2020-02-27,10,4,18,97,1,120,Seattle,0.3345101475715637,0.33918899297714233,0.32630085945129395,0.2637343406677246,0.20481982827186584,0.32594525814056396,0.2055005580186844
4,4,2020-02-28,1,0,3,7,0,10,Seattle,0.00592914130538702,0.590503454208374,0.403567373752594,0.04629501327872276,0.23255087435245514,0.670242190361023,0.05091187730431557
5,5,2020-02-29,2,0,2,4,0,6,Seattle,0.6363695859909058,0.3258479833602905,0.03778241574764252,0.8143937587738037,0.01041391585022211,0.11145433038473129,0.06373792141675949
6,6,2020-03-01,6,6,9,23,1,39,Seattle,0.30455896258354187,0.3986858129501343,0.29675519466400146,0.14740778505802155,0.038038138300180435,0.54265958070755,0.2718946039676666
7,7,2020-03-02,6,2,5,16,0,23,Seattle,0.4512574374675751,0.3736948072910309,0.17504774034023285,0.47093871235847473,0.03579090163111687,0.41104498505592346,0.08222530037164688
8,8,2020-03-03,11,2,0,8,0,10,Seattle,0.6222553253173828,0.25235000252723694,0.12539474666118622,0.581426203250885,0.05947374179959297,0.19671307504177094,0.162386953830719
9,9,2020-03-04,9,2,0,14,0,16,Seattle,0.46809735894203186,0.4063469469547272,0.125555619597435,0.4300694465637207,0.15906734764575958,0.24197739362716675,0.16888576745986938
10,10,2020-03-05,7,4,0,24,0,28,Seattle,0.4281327426433563,0.4176599085330963,0.15420737862586975,0.30408287048339844,0.17456910014152527,0.3086563050746918,0.21269167959690094
11,11,2020-03-06,7,0,2,4,0,6,Seattle,0.11938457936048508,0.5534781813621521,0.3271372318267822,0.10165711492300034,0.28563764691352844,0.4629218578338623,0.14978334307670593
12,12,2020-03-07,3,1,0,2,0,3,Seattle,0.45530763268470764,0.20328481495380402,0.34140750765800476,0.49438798427581787,0.2874070703983307,0.08477690070867538,0.13342797756195068
