,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,6,0,11,17,0,28,Toronto,0.29043534,0.42649448,0.2830701,0.19118188,0.2514151,0.22017348,0.33722958
1,1,2020-02-25,4,2,1,4,0,7,Toronto,0.2704494,0.42033523,0.30921537,0.32487056,0.25661197,0.29156205,0.12695539
2,2,2020-02-26,9,3,4,10,0,17,Toronto,0.4763261,0.3542514,0.16942243,0.22020303,0.15935153,0.2116042,0.40884125
3,3,2020-02-27,3,1,0,4,0,5,Toronto,0.8123639,0.16616245,0.021473529,0.63848674,0.0063069486,0.019088304,0.33611807
4,4,2020-02-28,9,16,293,484,15,808,Toronto,0.5480163,0.2170021,0.2349816,0.30834848,0.10643119,0.17334135,0.41187894
5,5,2020-02-29,8,2,2,14,1,19,Toronto,0.36859375,0.47706562,0.15434062,0.31536832,0.2222499,0.18314396,0.2792378
6,6,2020-03-01,19,3,10,50,0,63,Toronto,0.43728057,0.41273344,0.14998601,0.25776,0.047017984,0.26964843,0.4255736
7,7,2020-03-02,29,41,82,288,6,417,Toronto,0.4197427,0.42906132,0.15119605,0.27753004,0.14505278,0.2131311,0.36428604
8,8,2020-03-03,29,30,162,332,17,541,Toronto,0.28067428,0.47058412,0.24874152,0.24424759,0.14793041,0.28808486,0.31973714
9,9,2020-03-04,12,1,10,15,1,27,Toronto,0.35420892,0.47802678,0.16776429,0.112280466,0.04404992,0.35700133,0.48666835
10,10,2020-03-05,26,9,49,136,3,197,Toronto,0.3434707,0.36416924,0.29236004,0.30585626,0.21006806,0.29170805,0.19236763
11,11,2020-03-06,38,15,35,110,5,165,Toronto,0.27041656,0.42050952,0.309074,0.2276786,0.25531206,0.27307057,0.24393882
12,12,2020-03-07,42,64,97,390,13,564,Toronto,0.3393741,0.381776,0.2788499,0.205337,0.16953585,0.3291336,0.2959936
13,13,2020-03-08,45,195,366,1241,53,1855,Toronto,0.38225272,0.3403102,0.27743712,0.31318513,0.1473946,0.27747884,0.2619415
14,14,2020-03-09,50,38,95,191,9,333,Toronto,0.39133403,0.41104287,0.19762318,0.26864633,0.19201416,0.20753086,0.33180866
15,15,2020-03-10,66,95,252,937,23,1307,Toronto,0.2644905,0.4449238,0.2905857,0.21264794,0.2027325,0.33006707,0.25455236
16,16,2020-03-11,172,179,484,1333,64,2060,Toronto,0.32572335,0.41647822,0.2577983,0.25030857,0.15659386,0.27011824,0.32297936
17,17,2020-03-12,249,291,766,2162,135,3354,Toronto,0.37284634,0.3909961,0.23615758,0.30229387,0.14707883,0.2276444,0.32298288
18,18,2020-03-13,247,412,1577,5746,165,7900,Toronto,0.3161684,0.3929131,0.29091844,0.26046208,0.177008,0.26489297,0.29763708
19,19,2020-03-14,167,174,455,2294,44,2967,Toronto,0.2857238,0.42088723,0.29338902,0.25420102,0.19351718,0.27442664,0.27785525
20,20,2020-03-15,183,232,1082,3192,147,4653,Toronto,0.2878359,0.39140344,0.32076067,0.23394221,0.17806269,0.30456886,0.28342614
21,21,2020-03-16,400,378,974,3321,118,4791,Toronto,0.27910674,0.43099344,0.28989992,0.27055785,0.18257505,0.27568766,0.27117944
22,22,2020-03-17,390,379,1568,5286,145,7378,Toronto,0.23075372,0.40205318,0.36719263,0.21960157,0.21457672,0.30363664,0.26218486
23,23,2020-03-18,411,394,2002,7572,206,10174,Toronto,0.25756988,0.36303917,0.37939116,0.22621188,0.21387029,0.32768682,0.23223083
24,24,2020-03-19,380,343,1186,7132,119,8780,Toronto,0.25482988,0.37738845,0.36778182,0.21105184,0.22897154,0.30313748,0.25683898
25,25,2020-03-20,268,288,809,2832,90,4019,Toronto,0.25350228,0.3516404,0.39485732,0.21603307,0.17975503,0.3721863,0.23202561
26,26,2020-03-21,197,145,419,1785,45,2394,Toronto,0.24112865,0.38061368,0.37825766,0.22606246,0.21521766,0.31200486,0.24671492
27,27,2020-03-22,272,239,897,4862,65,6063,Toronto,0.26482826,0.31557748,0.419594,0.224718,0.19550489,0.34482685,0.23495042
28,28,2020-03-23,294,431,1882,5883,238,8434,Toronto,0.2702776,0.39049104,0.3392315,0.24662529,0.1968649,0.31047297,0.24603681
29,29,2020-03-24,294,300,1090,3274,132,4796,Toronto,0.22877842,0.35895875,0.4122628,0.19456041,0.2165614,0.32663617,0.2622419
30,30,2020-03-25,285,634,1955,8664,205,11458,Toronto,0.22229001,0.39968675,0.37802324,0.21827793,0.22066282,0.33327276,0.22778642
31,31,2020-03-26,241,331,961,3830,199,5321,Toronto,0.25730497,0.3700944,0.37260076,0.2310912,0.20233192,0.32807827,0.23849867
32,32,2020-03-27,319,350,1195,5345,132,7022,Toronto,0.26693562,0.3669645,0.3660996,0.21028359,0.19674213,0.31145707,0.2815172
33,33,2020-03-28,258,383,763,4369,76,5591,Toronto,0.26479033,0.33117184,0.40403768,0.1978401,0.2460503,0.294564,0.26154563
34,34,2020-03-29,195,187,489,2411,71,3158,Toronto,0.22403918,0.36226338,0.41369742,0.19720586,0.25316903,0.31890693,0.23071827
35,35,2020-03-30,182,346,1173,4151,121,5791,Toronto,0.24622773,0.3858262,0.36794612,0.2195714,0.21205118,0.34460133,0.2237762
36,36,2020-03-31,291,323,1047,3962,95,5427,Toronto,0.24743581,0.3859899,0.3665742,0.2140229,0.23131202,0.3247929,0.22987227
37,37,2020-04-01,246,306,848,3301,85,4540,Toronto,0.22004637,0.35742918,0.42252436,0.18583825,0.2703552,0.3288981,0.21490815
38,38,2020-04-02,210,1096,5076,9739,688,16599,Toronto,0.250791,0.3494836,0.39972526,0.18383986,0.22012928,0.33544436,0.26058662
39,39,2020-04-03,262,668,3368,8574,370,12980,Toronto,0.27656773,0.34221914,0.38121295,0.20163806,0.21171857,0.30909124,0.27755222
40,40,2020-04-04,205,213,704,2773,66,3756,Toronto,0.23100287,0.34311828,0.42587867,0.20653155,0.20719108,0.35249162,0.23378552
41,41,2020-04-05,133,87,253,1241,26,1607,Toronto,0.2114611,0.3331947,0.4553442,0.20957448,0.25900343,0.3221297,0.20929247
42,42,2020-04-06,182,164,388,1783,53,2388,Toronto,0.23786817,0.3696278,0.39250386,0.17208065,0.2805569,0.30738354,0.239979
43,43,2020-04-07,208,240,676,2955,73,3944,Toronto,0.21442226,0.332654,0.4529239,0.19695035,0.2771038,0.32458118,0.2013646
