,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,3,1,1,3,0,5,Toronto,0.5175777673721313,0.4561745226383209,0.02624773234128952,0.47550392150878906,0.014471619389951229,0.05550994351506233,0.4545145034790039
1,1,2020-02-25,1,0,0,0,0,0,Toronto,0.0012192964786663651,0.05791797488927841,0.9408628344535828,0.01684548705816269,0.8679113388061523,0.1050485223531723,0.010194596834480762
2,2,2020-02-26,0,0,0,0,0,0,Toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2020-02-27,0,0,0,0,0,0,Toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2020-02-28,2,10,0,10,0,20,Toronto,0.7993332147598267,0.18847735226154327,0.012189362198114395,0.6383048892021179,0.007573977578431368,0.017613841220736504,0.33650729060173035
5,5,2020-02-29,1,0,0,0,0,0,Toronto,0.005640822928398848,0.06232210993766785,0.9320371747016907,0.07897425442934036,0.7082874178886414,0.18613310158252716,0.02660512365400791
6,6,2020-03-01,1,0,1,1,0,2,Toronto,0.15880167484283447,0.6022592186927795,0.2389390915632248,0.20298618078231812,0.016628719866275787,0.2016294300556183,0.5787557363510132
7,7,2020-03-02,0,0,0,0,0,0,Toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2020-03-03,1,1,0,2,0,3,Toronto,0.21951204538345337,0.7402712106704712,0.04021664708852768,0.3871998190879822,0.11323398351669312,0.20378197729587555,0.2957841157913208
9,9,2020-03-04,0,0,0,0,0,0,Toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,2020-03-05,0,0,0,0,0,0,Toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,2020-03-06,1,1,0,0,0,1,Toronto,0.03296416625380516,0.4643516540527344,0.5026841163635254,0.2212015837430954,0.0868578553199768,0.3505568206310272,0.34138384461402893
12,12,2020-03-07,2,2,1,2,0,5,Toronto,0.6747652292251587,0.28179413080215454,0.04344068467617035,0.5915912389755249,0.09114942699670792,0.058029208332300186,0.2592300772666931
13,13,2020-03-08,3,2,1,11,0,14,Toronto,0.6619815826416016,0.28444769978523254,0.05357065424323082,0.5531209707260132,0.021544894203543663,0.1166277825832367,0.3087064027786255
14,14,2020-03-09,4,5,39,30,7,81,Toronto,0.5331690311431885,0.4371812343597412,0.02964971587061882,0.5367093086242676,0.02193680964410305,0.0432775616645813,0.3980763554573059
15,15,2020-03-10,16,2,9,26,1,38,Toronto,0.5235511064529419,0.4493902027606964,0.027058757841587067,0.23170208930969238,0.01881047710776329,0.04152517020702362,0.7079622745513916
16,16,2020-03-11,9,6,4,29,1,40,Toronto,0.49627721309661865,0.4520958364009857,0.051626935601234436,0.4393118917942047,0.011991297826170921,0.04625260457396507,0.5024442076683044
17,17,2020-03-12,5,0,0,5,0,5,Toronto,0.34363803267478943,0.5340224504470825,0.12233952432870865,0.4786263108253479,0.03376222401857376,0.2733649015426636,0.21424655616283417
18,18,2020-03-13,16,2,3,12,0,17,Toronto,0.2264273315668106,0.4854697287082672,0.2881029546260834,0.434148907661438,0.2233140468597412,0.13196755945682526,0.21056947112083435
19,19,2020-03-14,19,17,53,229,5,304,Toronto,0.4101783037185669,0.4263407588005066,0.16348089277744293,0.31382885575294495,0.13906286656856537,0.11078071594238281,0.43632757663726807
20,20,2020-03-15,22,7,5,21,3,36,Toronto,0.3267015814781189,0.47893962264060974,0.19435888528823853,0.40089064836502075,0.07814276218414307,0.10268008708953857,0.41828659176826477
21,21,2020-03-16,38,18,11,82,3,114,Toronto,0.42595717310905457,0.4007970690727234,0.17324583232402802,0.3846316933631897,0.11510449647903442,0.12755313515663147,0.372710645198822
22,22,2020-03-17,27,15,13,92,1,121,Toronto,0.40166419744491577,0.3812471926212311,0.21708866953849792,0.34220024943351746,0.11390376836061478,0.17205575108528137,0.3718402087688446
23,23,2020-03-18,22,8,49,79,3,139,Toronto,0.33035513758659363,0.39560946822166443,0.2740354537963867,0.40463265776634216,0.12283576279878616,0.18036788702011108,0.29216378927230835
24,24,2020-03-19,24,9,6,45,2,62,Toronto,0.3955039978027344,0.35335490107536316,0.2511410713195801,0.2436274141073227,0.1864316463470459,0.10423263162374496,0.46570825576782227
25,25,2020-03-20,33,20,38,256,3,317,Toronto,0.3489835858345032,0.4296379089355469,0.22137843072414398,0.4202501177787781,0.12034464627504349,0.1569172441959381,0.30248790979385376
26,26,2020-03-21,42,151,2422,9166,94,11833,Toronto,0.4073861539363861,0.45405974984169006,0.13855408132076263,0.44370296597480774,0.05229594558477402,0.1875179558992386,0.31648313999176025
27,27,2020-03-22,39,8,16,185,1,210,Toronto,0.4643673896789551,0.3191179931163788,0.21651481091976166,0.37087076902389526,0.1389380395412445,0.1463596671819687,0.34383153915405273
28,28,2020-03-23,37,134,11012,20497,415,32058,Toronto,0.4579716622829437,0.34752148389816284,0.19450679421424866,0.4791645407676697,0.11045530438423157,0.10926571488380432,0.30111443996429443
