,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,3,0,0,1,1,2,Toronto,0.17190282,0.5794429,0.2486543,0.17676558,0.6413365,0.07007722,0.11182064
1,1,2020-02-25,4,1,0,20,0,21,Toronto,0.1416803,0.27925527,0.5790645,0.24737656,0.6247871,0.07709542,0.05074089
2,2,2020-02-26,8,5,0,22,0,27,Toronto,0.24391532,0.43358988,0.32249483,0.24333814,0.45036954,0.104077265,0.20221503
3,3,2020-02-27,6,1,0,17,0,18,Toronto,0.45281222,0.4638792,0.083308496,0.47049502,0.14808102,0.118965305,0.26245868
4,4,2020-02-28,5,1,2,9,0,12,Toronto,0.61687267,0.35973057,0.023396729,0.5203325,0.056628566,0.06785942,0.35517955
5,5,2020-02-29,2,0,0,0,0,0,Toronto,0.6388291,0.31068927,0.05048165,0.7344959,0.06272325,0.043552205,0.1592286
6,6,2020-03-01,3,1,0,12,0,13,Toronto,0.791918,0.1892432,0.018838914,0.60439295,0.055203322,0.026311012,0.3140927
7,7,2020-03-02,4,1,0,0,0,1,Toronto,0.14165695,0.73754144,0.12080161,0.25619796,0.47785854,0.12264287,0.14330058
8,8,2020-03-03,6,8,9,43,1,61,Toronto,0.35903993,0.43458068,0.20637935,0.45282897,0.32476854,0.07088315,0.15151937
9,9,2020-03-04,7,2,9,40,1,52,Toronto,0.34463412,0.48675033,0.1686156,0.28351516,0.26992092,0.15365839,0.29290554
10,10,2020-03-05,8,4,0,27,0,31,Toronto,0.39219892,0.4296343,0.17816676,0.21677898,0.17966634,0.2126092,0.39094546
11,11,2020-03-06,3,2,7,19,2,30,Toronto,0.6354565,0.19382353,0.17071998,0.6527291,0.20062757,0.08520028,0.061442997
12,12,2020-03-07,4,2,1,21,0,24,Toronto,0.3136403,0.2888576,0.39750215,0.07954315,0.49680826,0.039603725,0.3840449
13,13,2020-03-08,7,3,3,23,0,29,Toronto,0.4542374,0.41170076,0.13406193,0.39419475,0.30466112,0.16697785,0.13416632
14,14,2020-03-09,3,0,2,7,0,9,Toronto,0.2408961,0.20336534,0.5557386,0.3281911,0.622045,0.024655508,0.025108384
15,15,2020-03-10,11,6,0,9,0,15,Toronto,0.6467655,0.30591807,0.047316454,0.53669524,0.17008519,0.05612509,0.23709458
16,16,2020-03-11,7,5,3,31,0,39,Toronto,0.42438483,0.38707703,0.18853815,0.38316676,0.27941126,0.15073125,0.18669072
17,17,2020-03-12,10,7,26,121,1,155,Toronto,0.48332095,0.3026742,0.21400487,0.34578007,0.10505297,0.13144183,0.41772515
18,18,2020-03-13,17,8,9,42,2,61,Toronto,0.22849286,0.49431458,0.2771926,0.31092373,0.3502408,0.18803364,0.1508019
19,19,2020-03-14,9,2,0,8,0,10,Toronto,0.44225252,0.43032745,0.12742004,0.52515316,0.25333,0.079593115,0.14192379
20,20,2020-03-15,13,10,0,47,3,60,Toronto,0.5470536,0.2551778,0.19776866,0.55185515,0.21322052,0.06715895,0.16776551
