,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,0,0,0,0,0,0,Vancouver,0.39851972,0.40979397,0.19168623,0.23248585,0.11579965,0.23125334,0.42046124
1,1,2020-02-25,1,0,1,2,0,3,Vancouver,0.08048745,0.77541167,0.14410095,0.03404157,0.8425658,0.07940254,0.04399018
2,2,2020-02-26,1,0,0,1,0,1,Vancouver,0.045221984,0.44080052,0.51397747,0.036196288,0.15164897,0.78204334,0.030111475
3,3,2020-02-27,4,0,0,10,0,10,Vancouver,0.21501045,0.42959777,0.35539177,0.19907337,0.11932597,0.49853414,0.18306652
4,4,2020-02-28,3,1,0,2,0,3,Vancouver,0.30042785,0.1668991,0.53267306,0.32532242,0.49876896,0.15550858,0.020399963
5,5,2020-02-29,7,2,0,7,0,9,Vancouver,0.45553702,0.25822425,0.28623873,0.28910986,0.20443235,0.25471964,0.25173822
6,6,2020-03-01,3,9,7,14,7,37,Vancouver,0.5063322,0.41005063,0.0836171,0.3751402,0.31176022,0.09124283,0.22185671
7,7,2020-03-02,8,10,0,12,0,22,Vancouver,0.5009756,0.44551885,0.053505577,0.31855583,0.0679641,0.24060576,0.37287432
8,8,2020-03-03,10,5,41,81,0,127,Vancouver,0.48728293,0.28468415,0.22803292,0.24041311,0.04963281,0.26912364,0.44083032
9,9,2020-03-04,5,55,18,77,14,164,Vancouver,0.5568348,0.3296694,0.113495804,0.5140672,0.07442375,0.16839376,0.24311534
10,10,2020-03-05,12,11,18,121,3,153,Vancouver,0.32535502,0.43000817,0.24463683,0.30289844,0.14255475,0.2826227,0.2719241
11,11,2020-03-06,16,157,97,710,21,985,Vancouver,0.4831835,0.32051536,0.19630115,0.23627286,0.22027618,0.15959245,0.38385853
12,12,2020-03-07,8,2,3,22,0,27,Vancouver,0.31979352,0.49442166,0.18578479,0.2260608,0.1737394,0.3065874,0.2936124
13,13,2020-03-08,13,12,21,79,5,117,Vancouver,0.24926816,0.43251625,0.31821564,0.2104424,0.10171188,0.43739673,0.25044897
14,14,2020-03-09,21,40,56,264,10,370,Vancouver,0.36244687,0.3849341,0.252619,0.24179342,0.2189044,0.19367075,0.34563136
15,15,2020-03-10,22,12,33,92,1,138,Vancouver,0.26077053,0.42974564,0.3094838,0.17385904,0.1824267,0.30853927,0.33517492
16,16,2020-03-11,41,38,93,287,11,429,Vancouver,0.2441211,0.46525234,0.2906266,0.21470484,0.13639715,0.3321115,0.3167865
17,17,2020-03-12,59,54,127,816,12,1009,Vancouver,0.40615726,0.34727398,0.24656875,0.3121112,0.17884062,0.20730305,0.30174512
18,18,2020-03-13,55,35,79,188,14,316,Vancouver,0.30934912,0.3693775,0.32127324,0.23946157,0.22186106,0.25862202,0.28005522
19,19,2020-03-14,67,36,156,746,31,969,Vancouver,0.17603011,0.4511815,0.37278837,0.19289677,0.3830008,0.25961974,0.16448265
20,20,2020-03-15,46,16,17,170,6,209,Vancouver,0.2699176,0.3354006,0.3946817,0.27125904,0.27339056,0.26302415,0.19232626
21,21,2020-03-16,102,87,207,963,21,1278,Vancouver,0.3288698,0.3705031,0.30062714,0.3055912,0.2186585,0.23724447,0.23850586
22,22,2020-03-17,111,73,180,576,15,844,Vancouver,0.2592477,0.3738333,0.36691895,0.2590457,0.19661151,0.29493153,0.2494113
23,23,2020-03-18,121,76,222,984,28,1310,Vancouver,0.19907367,0.3919516,0.40897486,0.18824238,0.25336692,0.3373912,0.22099943
24,24,2020-03-19,104,197,320,1709,38,2264,Vancouver,0.19630894,0.3543772,0.44931382,0.1885573,0.25415224,0.34907624,0.20821434
25,25,2020-03-20,91,57,151,855,19,1082,Vancouver,0.1969323,0.39419708,0.40887052,0.2268332,0.23600747,0.3189942,0.21816522
26,26,2020-03-21,61,67,297,610,21,995,Vancouver,0.27913916,0.43432927,0.28653157,0.22318016,0.18396114,0.2851269,0.30773178
27,27,2020-03-22,76,145,670,2131,96,3042,Vancouver,0.2921084,0.3527119,0.35517994,0.21789888,0.24089736,0.2966238,0.24457999
28,28,2020-03-23,105,94,648,2522,110,3374,Vancouver,0.22892024,0.32792315,0.4431567,0.19128445,0.23566179,0.346923,0.22613083
29,29,2020-03-24,113,142,395,1888,28,2453,Vancouver,0.20065391,0.35617763,0.44316843,0.20042847,0.24920209,0.31822008,0.23214938
30,30,2020-03-25,93,41,177,1012,23,1253,Vancouver,0.20512968,0.36175287,0.43311733,0.17994452,0.3745172,0.25463676,0.19090141
31,31,2020-03-26,90,91,288,998,44,1421,Vancouver,0.23094729,0.3459298,0.42312294,0.20266913,0.27669433,0.31310776,0.20752887
32,32,2020-03-27,105,194,401,3005,44,3644,Vancouver,0.20019405,0.32309693,0.47670892,0.17578878,0.30521497,0.31764752,0.2013487
33,33,2020-03-28,110,164,836,3665,92,4757,Vancouver,0.15370823,0.33168393,0.5146079,0.15541969,0.30251783,0.33044896,0.21161346
34,34,2020-03-29,64,72,357,1217,33,1679,Vancouver,0.21607664,0.34625882,0.43766457,0.16757353,0.28511152,0.30944905,0.23786597
35,35,2020-03-30,68,29,128,511,13,681,Vancouver,0.18445306,0.41420653,0.40134028,0.15502045,0.22886339,0.3560829,0.26003325
36,36,2020-03-31,84,92,386,1851,62,2391,Vancouver,0.24539402,0.39423978,0.36036617,0.24130274,0.26941767,0.24047734,0.24880219
37,37,2020-04-01,60,38,144,672,15,869,Vancouver,0.20546226,0.33994398,0.45459378,0.10883574,0.31261593,0.34583876,0.2327096
38,38,2020-04-02,49,31,140,383,14,568,Vancouver,0.20753337,0.34954092,0.44292575,0.17345388,0.23019113,0.37985522,0.21649984
39,39,2020-04-03,104,231,316,2248,40,2835,Vancouver,0.26017845,0.33065796,0.4091636,0.2523648,0.2373377,0.3097712,0.20052624
40,40,2020-04-04,70,93,272,2133,29,2527,Vancouver,0.23754978,0.297881,0.46456915,0.2080326,0.26220796,0.3556831,0.17407635
41,41,2020-04-05,50,35,84,866,7,992,Vancouver,0.21348634,0.3918913,0.3946223,0.19622448,0.29723835,0.2670633,0.23947383
42,42,2020-04-06,55,46,137,835,14,1032,Vancouver,0.20453015,0.3536207,0.4418492,0.19488338,0.23782447,0.33112985,0.23616232
43,43,2020-04-07,68,52,210,1184,15,1461,Vancouver,0.2157899,0.2967852,0.48742485,0.18342187,0.302266,0.33112848,0.18318355
44,44,2020-04-08,68,39,170,896,29,1134,Vancouver,0.20592093,0.30765668,0.4864223,0.13058788,0.28825942,0.3331883,0.2479643
45,45,2020-04-09,62,40,151,526,18,735,Vancouver,0.15640393,0.35369983,0.4898962,0.13841042,0.34194127,0.34795383,0.17169447
46,46,2020-04-10,50,45,244,836,24,1149,Vancouver,0.18546507,0.34785053,0.46668437,0.16538735,0.3126973,0.33339038,0.18852505
47,47,2020-04-11,44,34,149,642,16,841,Vancouver,0.24797012,0.2880101,0.46401995,0.18086487,0.37285054,0.2411363,0.20514828
48,48,2020-04-12,45,43,121,732,8,904,Vancouver,0.2261137,0.30534446,0.46854183,0.22571573,0.3902278,0.22839914,0.15565728
49,49,2020-04-13,44,40,147,718,10,915,Vancouver,0.2669341,0.35366023,0.3794057,0.23574366,0.26323822,0.2953604,0.20565774
50,50,2020-04-14,59,29,101,305,11,446,Vancouver,0.263909,0.38717094,0.34892,0.22585368,0.23620479,0.2942145,0.24372694
51,51,2020-04-15,52,98,127,1458,15,1698,Vancouver,0.19795942,0.30958396,0.4924567,0.12573849,0.322611,0.30757916,0.24407133
52,52,2020-04-16,47,17,66,236,3,322,Vancouver,0.16766125,0.32071486,0.5116238,0.13694715,0.3064603,0.3932935,0.16329904
53,53,2020-04-17,52,31,83,465,8,587,Vancouver,0.23278481,0.3205772,0.446638,0.16250968,0.285772,0.3324673,0.21925102
54,54,2020-04-18,45,23,77,380,11,491,Vancouver,0.21715781,0.36721542,0.4156267,0.17065167,0.25663137,0.33168983,0.24102715
55,55,2020-04-19,47,31,52,231,5,319,Vancouver,0.286349,0.3639742,0.34967682,0.2961563,0.24635242,0.28920898,0.16828233
56,56,2020-04-20,35,23,79,417,9,528,Vancouver,0.16376133,0.33718434,0.49905434,0.17773387,0.34013265,0.32122084,0.16091262
57,57,2020-04-21,48,80,73,304,9,466,Vancouver,0.26699662,0.3300758,0.40292755,0.21498126,0.25145668,0.27702466,0.25653735
58,58,2020-04-22,46,20,46,171,3,240,Vancouver,0.217235,0.3206458,0.46211913,0.18389162,0.314335,0.32873422,0.17303911
59,59,2020-04-23,44,26,114,317,8,465,Vancouver,0.22434877,0.30574855,0.4699027,0.19208628,0.26766142,0.31714237,0.22310996
60,60,2020-04-24,44,19,62,280,9,370,Vancouver,0.15643264,0.3009317,0.54263556,0.10598781,0.4561218,0.28782186,0.15006848
61,61,2020-04-25,44,50,164,811,24,1049,Vancouver,0.20615049,0.3800349,0.41381443,0.18061851,0.28810054,0.2692872,0.26199374
62,62,2020-04-26,24,22,39,136,11,208,Vancouver,0.31507075,0.31189534,0.3730339,0.15095098,0.33859244,0.22234105,0.2881156
63,63,2020-04-27,36,42,48,305,11,406,Vancouver,0.1563897,0.31778395,0.5258263,0.15956894,0.2994369,0.3905895,0.15040472
64,64,2020-04-28,45,37,94,303,7,441,Vancouver,0.2429514,0.35511386,0.4019346,0.1541899,0.26203322,0.30455008,0.27922675
65,65,2020-04-29,39,44,83,434,17,578,Vancouver,0.20657046,0.28763738,0.50579226,0.16863665,0.33439085,0.28154644,0.2154261
66,66,2020-04-30,34,22,93,302,32,449,Vancouver,0.3053202,0.31897977,0.3756999,0.26737022,0.2340248,0.29792857,0.2006764
67,67,2020-05-01,32,18,42,142,5,207,Vancouver,0.28573754,0.3407506,0.37351182,0.23539951,0.30889383,0.24464849,0.21105814
68,68,2020-05-02,30,9,22,90,2,123,Vancouver,0.22941191,0.40820828,0.36237982,0.22386505,0.2768603,0.29555026,0.20372437
69,69,2020-05-03,22,9,24,71,2,106,Vancouver,0.3042042,0.38846624,0.30732957,0.2328586,0.24443617,0.22474985,0.2979554
70,70,2020-05-04,28,12,34,218,4,268,Vancouver,0.21787418,0.33909914,0.44302663,0.145079,0.31381947,0.28757268,0.2535288
71,71,2020-05-05,41,15,42,217,9,283,Vancouver,0.19067602,0.3930913,0.4162326,0.16561587,0.28408745,0.36472118,0.18557544
72,72,2020-05-06,33,29,74,278,8,389,Vancouver,0.13432139,0.348527,0.5171516,0.1312779,0.29640314,0.37712845,0.19519046
73,73,2020-05-07,30,15,45,234,2,296,Vancouver,0.17026316,0.41851065,0.41122612,0.10313874,0.3097923,0.37122875,0.21584025
74,74,2020-05-08,30,28,73,342,12,455,Vancouver,0.2045804,0.3753353,0.4200842,0.18091327,0.3202115,0.27490133,0.22397384
75,75,2020-05-09,21,8,14,71,4,97,Vancouver,0.27491623,0.40946746,0.31561628,0.30848527,0.27971002,0.2374761,0.17432861
76,76,2020-05-10,49,50,46,338,5,439,Vancouver,0.38066074,0.3481843,0.27115485,0.34047887,0.21501312,0.20100382,0.24350417
77,77,2020-05-11,21,12,52,417,7,488,Vancouver,0.27943572,0.4321549,0.28840935,0.32578635,0.13769677,0.30992562,0.22659124
78,78,2020-05-12,24,19,72,304,4,399,Vancouver,0.33147022,0.32934606,0.33918372,0.32609883,0.10005477,0.36462688,0.2092194
79,79,2020-05-13,43,42,76,493,16,627,Vancouver,0.24073035,0.3599198,0.39934987,0.17436366,0.2537655,0.34493068,0.22694024
80,80,2020-05-14,29,10,27,113,6,156,Vancouver,0.23283711,0.32194635,0.44521657,0.21818183,0.25315702,0.36861822,0.16004296
81,81,2020-05-15,32,31,31,112,4,178,Vancouver,0.237368,0.34894013,0.41369176,0.23870651,0.33822057,0.21262702,0.21044591
82,82,2020-05-16,31,25,41,235,5,306,Vancouver,0.2971939,0.31511948,0.38768667,0.2447341,0.3009543,0.296324,0.15798756
83,83,2020-05-17,27,19,29,156,2,206,Vancouver,0.3551058,0.35750043,0.28739375,0.24587949,0.21070296,0.20738125,0.33603632
84,84,2020-05-18,15,13,11,76,2,102,Vancouver,0.20884785,0.36174032,0.42941177,0.19116224,0.26330873,0.28249326,0.2630357
85,85,2020-05-19,25,10,31,174,3,218,Vancouver,0.32004893,0.35608032,0.32387075,0.2843239,0.2280364,0.2867158,0.20092386
86,86,2020-05-20,19,29,19,97,4,149,Vancouver,0.14529909,0.50864124,0.34605965,0.17705324,0.35770094,0.28617975,0.17906612
87,87,2020-05-21,19,11,63,177,6,257,Vancouver,0.17256147,0.33550707,0.49193153,0.21856906,0.38242647,0.22467566,0.17432879
88,88,2020-05-22,14,7,12,38,3,60,Vancouver,0.15317182,0.40272754,0.44410068,0.0763045,0.25330895,0.44014928,0.23023723
89,89,2020-05-23,17,13,22,123,6,164,Vancouver,0.0914897,0.42255986,0.48595047,0.087047115,0.34045273,0.33926454,0.23323567
90,90,2020-05-24,16,8,38,234,6,286,Vancouver,0.25933036,0.35972536,0.3809444,0.22331604,0.2816748,0.1748742,0.32013494
91,91,2020-05-25,24,12,61,156,3,232,Vancouver,0.16361536,0.28438956,0.55199516,0.15072979,0.26979813,0.43440226,0.14506984
92,92,2020-05-26,24,11,26,116,4,157,Vancouver,0.35391268,0.34623003,0.29985726,0.40963066,0.21147989,0.19489603,0.18399341
93,93,2020-05-27,14,9,17,72,4,102,Vancouver,0.25822574,0.4494992,0.29227504,0.30095056,0.18804693,0.19689374,0.31410876
94,94,2020-05-28,34,27,91,239,24,381,Vancouver,0.2648042,0.37582356,0.3593722,0.22072437,0.23486677,0.25926614,0.28514275
95,95,2020-05-29,25,15,17,139,4,175,Vancouver,0.38067394,0.33569664,0.28362945,0.31150448,0.17515393,0.27075988,0.24258175
96,96,2020-05-30,12,10,21,97,2,130,Vancouver,0.13230859,0.3567357,0.51095563,0.15409398,0.31486768,0.28608263,0.2449557
97,97,2020-05-31,16,8,11,56,2,77,Vancouver,0.22933014,0.34460673,0.42606318,0.24386969,0.34498104,0.21762213,0.1935271
98,98,2020-06-01,22,34,137,430,23,624,Vancouver,0.2778993,0.43809354,0.28400725,0.41192988,0.09406097,0.24183646,0.25217265
99,99,2020-06-02,16,8,13,111,3,135,Vancouver,0.391143,0.39487258,0.2139845,0.31742048,0.13904206,0.22676732,0.3167701
100,100,2020-06-03,8,3,7,25,0,35,Vancouver,0.42536446,0.1801086,0.39452693,0.2955176,0.18464589,0.31195003,0.20788643
101,101,2020-06-04,13,14,5,81,2,102,Vancouver,0.29268467,0.42867616,0.27863908,0.13054994,0.29435465,0.18894394,0.38615137
102,102,2020-06-05,16,60,117,337,21,535,Vancouver,0.42239615,0.29643622,0.2811677,0.36325687,0.12522948,0.21144691,0.3000667
103,103,2020-06-06,10,11,12,50,2,75,Vancouver,0.4165155,0.3266979,0.25678664,0.30896524,0.19762617,0.16693065,0.32647794
104,104,2020-06-07,4,1,7,14,1,23,Vancouver,0.15573269,0.28253627,0.561731,0.17978449,0.49920183,0.23656741,0.08444627
105,105,2020-06-08,13,12,19,55,1,87,Vancouver,0.25260654,0.42768785,0.3197056,0.29271108,0.2368703,0.19663921,0.2737794
106,106,2020-06-09,13,8,9,44,0,61,Vancouver,0.22237872,0.46540096,0.3122204,0.21687171,0.097765975,0.46665034,0.21871193
107,107,2020-06-10,13,9,20,40,7,76,Vancouver,0.3648839,0.42610514,0.20901094,0.242874,0.06170263,0.26419383,0.43122947
108,108,2020-06-11,13,8,26,80,3,117,Vancouver,0.2674848,0.31792706,0.41458803,0.19763559,0.1447276,0.36304104,0.29459578
109,109,2020-06-12,23,13,20,82,2,117,Vancouver,0.31126726,0.31868842,0.3700442,0.23310766,0.2595989,0.25475898,0.25253448
110,110,2020-06-13,6,15,47,186,5,253,Vancouver,0.4312906,0.2658714,0.30283797,0.08723128,0.141445,0.29988468,0.47143903
111,111,2020-06-14,19,9,10,68,2,89,Vancouver,0.2834527,0.39457273,0.32197455,0.23256433,0.38172895,0.178074,0.20763274
112,112,2020-06-15,15,3,14,38,0,55,Vancouver,0.31033057,0.362888,0.3267814,0.22790974,0.2778935,0.21489386,0.2793028
113,113,2020-06-16,15,6,18,88,1,113,Vancouver,0.461292,0.31615406,0.22255388,0.2586277,0.17604004,0.17308882,0.3922434
114,114,2020-06-17,23,59,30,239,3,331,Vancouver,0.25295407,0.34017593,0.40687007,0.14975011,0.18657175,0.35445818,0.30921993
115,115,2020-06-18,16,9,9,59,1,78,Vancouver,0.34911868,0.38077196,0.27010933,0.16783519,0.21753623,0.29894754,0.31568107
116,116,2020-06-19,12,6,21,69,3,99,Vancouver,0.2132323,0.32143483,0.4653329,0.13037904,0.3419082,0.25428313,0.2734296
117,117,2020-06-20,14,7,28,91,2,128,Vancouver,0.3979806,0.33142146,0.27059796,0.32343736,0.080423295,0.2538756,0.34226373
118,118,2020-06-21,11,4,8,31,2,45,Vancouver,0.35383487,0.37087995,0.27528512,0.26976904,0.29564464,0.21091676,0.22366963
119,119,2020-06-22,13,5,9,79,1,94,Vancouver,0.38799578,0.37414998,0.23785414,0.33958563,0.2501895,0.14689836,0.2633265
120,120,2020-06-23,7,14,11,41,0,66,Vancouver,0.3365709,0.5478989,0.115530185,0.32477182,0.15071118,0.18709612,0.33742094
121,121,2020-06-24,15,13,38,105,4,160,Vancouver,0.4103807,0.28734085,0.3022785,0.12602967,0.24288753,0.26878655,0.36229622
122,122,2020-06-25,15,9,6,30,0,45,Vancouver,0.23705001,0.34975645,0.41319364,0.19688351,0.3251678,0.2529605,0.22498815
123,123,2020-06-26,28,8,10,165,0,183,Vancouver,0.41155395,0.3351889,0.2532572,0.27114645,0.16469689,0.21706912,0.34708753
124,124,2020-06-27,17,5,10,35,1,51,Vancouver,0.4096539,0.30043945,0.2899066,0.26546276,0.28762415,0.119123615,0.32778952
125,125,2020-06-28,10,2,5,5,0,12,Vancouver,0.35533845,0.32631487,0.31834665,0.33705902,0.2789766,0.19471742,0.18924697
126,126,2020-06-29,11,5,21,54,0,80,Vancouver,0.31837037,0.42254496,0.2590847,0.22692376,0.1352157,0.31878433,0.31907618
127,127,2020-06-30,14,13,23,158,3,197,Vancouver,0.32327667,0.27061477,0.40610856,0.24287382,0.18475077,0.36076424,0.21161117
128,128,2020-07-01,6,2,20,93,2,117,Vancouver,0.2621818,0.10872951,0.6290887,0.33060563,0.42513633,0.20945244,0.03480567
129,129,2020-07-02,14,10,12,54,4,80,Vancouver,0.3823399,0.3337776,0.28388253,0.23051901,0.33689216,0.16810639,0.26448244
130,130,2020-07-03,12,8,13,142,4,167,Vancouver,0.3963352,0.22418125,0.37948355,0.41301107,0.2146646,0.23703974,0.13528459
131,131,2020-07-04,10,2,7,32,1,42,Vancouver,0.13816383,0.29210487,0.56973135,0.17376421,0.37006265,0.26020476,0.19596839
132,132,2020-07-05,4,2,0,1,0,3,Vancouver,0.074966185,0.44554946,0.4794843,0.1678968,0.4878418,0.26885015,0.07541125
133,133,2020-07-06,10,4,7,33,1,45,Vancouver,0.37714675,0.26898047,0.35387275,0.11837168,0.20206256,0.16777782,0.5117879
134,134,2020-07-07,9,5,6,124,0,135,Vancouver,0.310065,0.4047745,0.28516045,0.14904772,0.23027116,0.23494056,0.38574058
135,135,2020-07-08,16,5,1,16,0,22,Vancouver,0.5014811,0.41744515,0.08107375,0.34480456,0.07478675,0.11625857,0.46415013
136,136,2020-07-09,8,11,9,27,0,47,Vancouver,0.523566,0.29692212,0.17951192,0.22824848,0.13070141,0.09552336,0.54552674
137,137,2020-07-10,10,5,11,60,2,78,Vancouver,0.33930537,0.23120853,0.4294861,0.30841175,0.23790379,0.22209409,0.23159039
138,138,2020-07-11,7,5,3,53,1,62,Vancouver,0.4313822,0.262364,0.3062537,0.24333239,0.38169295,0.105976574,0.26899806
139,139,2020-07-12,9,3,2,9,0,14,Vancouver,0.36509243,0.3661517,0.26875594,0.29507732,0.09868142,0.17146331,0.43477795
140,140,2020-07-13,11,6,15,44,0,65,Vancouver,0.40638837,0.39429778,0.1993139,0.2563965,0.19205433,0.18517923,0.36636993
141,141,2020-07-14,19,7,15,44,2,68,Vancouver,0.3497784,0.43919256,0.21102908,0.35331878,0.11032633,0.2886612,0.24769372
142,142,2020-07-15,10,1,1,12,0,14,Vancouver,0.5004044,0.31082073,0.1887748,0.36985487,0.19599132,0.19402477,0.240129
143,143,2020-07-16,14,11,19,99,1,130,Vancouver,0.33116755,0.41623208,0.25260034,0.25174,0.15435041,0.36776018,0.2261494
144,144,2020-07-17,9,1,4,20,0,25,Vancouver,0.1836064,0.4119457,0.40444782,0.23551673,0.4281132,0.22449967,0.11187039
145,145,2020-07-18,6,6,0,25,1,32,Vancouver,0.16582817,0.3591372,0.4750346,0.1997199,0.3012757,0.3950002,0.10400417
146,146,2020-07-19,8,5,6,48,0,59,Vancouver,0.47799352,0.2451349,0.2768716,0.41867256,0.15550846,0.17560211,0.2502168
147,147,2020-07-20,12,10,3,40,0,53,Vancouver,0.4222156,0.3859106,0.19187383,0.48706463,0.09668574,0.25996277,0.15628682
148,148,2020-07-21,11,5,12,27,0,44,Vancouver,0.41502237,0.41417697,0.17080063,0.3733931,0.09663804,0.13340205,0.39656678
149,149,2020-07-22,12,16,55,209,7,287,Vancouver,0.35900864,0.3466648,0.29432663,0.32871026,0.10935534,0.28317758,0.2787569
150,150,2020-07-23,12,3,21,70,6,100,Vancouver,0.24886553,0.32893524,0.42219925,0.1325951,0.23794286,0.3622801,0.26718196
151,151,2020-07-24,16,4,12,27,0,43,Vancouver,0.35634494,0.3493052,0.2943499,0.25952765,0.2357622,0.22835815,0.27635196
152,152,2020-07-25,10,4,9,19,0,32,Vancouver,0.48488623,0.28984576,0.22526798,0.39214522,0.18887761,0.2635462,0.15543097
153,153,2020-07-26,2,1,5,8,0,14,Vancouver,0.065591425,0.41864237,0.51576614,0.025604416,0.48204324,0.212793,0.27955937
154,154,2020-07-27,6,5,21,69,2,97,Vancouver,0.0638106,0.31997207,0.6162173,0.061060388,0.43027282,0.45119306,0.057473708
155,155,2020-07-28,17,3,13,39,0,55,Vancouver,0.4232277,0.40978986,0.16698235,0.36974445,0.17777656,0.17015183,0.28232718
156,156,2020-07-29,12,34,19,44,2,99,Vancouver,0.3169694,0.338106,0.3449246,0.18418331,0.20650803,0.3227342,0.2865744
157,157,2020-07-30,8,1,0,8,0,9,Vancouver,0.36283553,0.45934498,0.17781949,0.34991077,0.06771883,0.22043182,0.36193854
158,158,2020-07-31,9,7,1,8,2,18,Vancouver,0.32060242,0.43916917,0.24022838,0.20832044,0.23621228,0.36459348,0.1908738
159,159,2020-08-01,6,2,1,5,1,9,Vancouver,0.51724803,0.29124203,0.19150984,0.099063,0.19020502,0.070030265,0.6407017
160,160,2020-08-02,6,2,8,39,0,49,Vancouver,0.19790198,0.43401432,0.36808372,0.08486549,0.35900983,0.20775934,0.34836528
161,161,2020-08-03,3,6,11,16,1,34,Vancouver,0.20150702,0.4726324,0.32586065,0.20764698,0.32015112,0.15941024,0.31279168
162,162,2020-08-04,6,4,9,33,4,50,Vancouver,0.33700582,0.340108,0.3228862,0.18225376,0.060832858,0.38857877,0.36833462
163,163,2020-08-05,12,7,5,22,0,34,Vancouver,0.46256113,0.3506023,0.18683656,0.2670472,0.016943038,0.22727191,0.4887378
164,164,2020-08-06,4,1,1,4,0,6,Vancouver,0.311884,0.3482092,0.33990687,0.25367045,0.25621426,0.13645574,0.3536595
165,165,2020-08-07,9,14,12,50,1,77,Vancouver,0.32245132,0.23346584,0.4440828,0.3674289,0.213009,0.23774634,0.18181576
166,166,2020-08-08,6,0,5,22,1,28,Vancouver,0.35749173,0.24329694,0.39921138,0.19808857,0.4707133,0.16130112,0.16989695
167,167,2020-08-09,8,13,56,182,6,257,Vancouver,0.4322085,0.31477255,0.25301895,0.37524468,0.07435026,0.32469174,0.22571336
168,168,2020-08-10,4,0,2,12,0,14,Vancouver,0.7321669,0.2431346,0.024698447,0.5176929,0.009469917,0.08176498,0.39107212
169,169,2020-08-11,8,5,10,34,1,50,Vancouver,0.3529785,0.3831375,0.26388398,0.39174277,0.27662277,0.19145037,0.14018404
170,170,2020-08-12,9,95,16,58,5,174,Vancouver,0.27747637,0.42092577,0.30159783,0.30294764,0.3490014,0.18073776,0.1673131
171,171,2020-08-13,13,14,24,87,1,126,Vancouver,0.34652513,0.35639504,0.2970799,0.36094257,0.20945086,0.2693227,0.16028388
172,172,2020-08-14,12,11,28,120,1,160,Vancouver,0.33124003,0.25546262,0.41329738,0.2022859,0.26524866,0.3421582,0.1903072
173,173,2020-08-15,8,16,40,95,15,166,Vancouver,0.08289141,0.34872985,0.56837875,0.07447687,0.31048408,0.3706093,0.24442977
174,174,2020-08-16,5,2,10,11,1,24,Vancouver,0.07181809,0.51509017,0.41309172,0.09737689,0.49063462,0.3493783,0.06261018
175,175,2020-08-17,16,10,12,34,3,59,Vancouver,0.30130693,0.30628937,0.39240375,0.29507726,0.2267349,0.23629192,0.24189588
176,176,2020-08-18,8,1,9,56,0,66,Vancouver,0.26001167,0.2395581,0.5004302,0.3126641,0.24106966,0.34252933,0.10373694
177,177,2020-08-19,8,13,19,109,0,141,Vancouver,0.55745715,0.18249863,0.26004416,0.37496424,0.19144766,0.08077326,0.3528148
178,178,2020-08-20,7,2,9,20,3,34,Vancouver,0.32307371,0.37508035,0.30184582,0.41258964,0.09572275,0.3790504,0.112637214
179,179,2020-08-21,12,5,14,124,0,143,Vancouver,0.1828223,0.30118427,0.5159934,0.10205426,0.20613821,0.40602815,0.2857794
180,180,2020-08-22,17,20,34,136,4,194,Vancouver,0.36595756,0.2897887,0.34425375,0.24848405,0.32417518,0.21672295,0.21061781
181,181,2020-08-23,13,5,21,44,1,71,Vancouver,0.46483123,0.35005528,0.18511344,0.4174403,0.09672256,0.2921808,0.19365637
182,182,2020-08-24,6,9,9,33,0,51,Vancouver,0.35773352,0.4009353,0.2413312,0.48288015,0.09023252,0.26979083,0.15709649
183,183,2020-08-25,24,15,26,92,1,134,Vancouver,0.54300314,0.1870029,0.26999405,0.502725,0.19058031,0.15295602,0.15373865
184,184,2020-08-26,6,0,5,23,0,28,Vancouver,0.17252642,0.4465052,0.38096836,0.2976754,0.23074983,0.37507096,0.09650386
185,185,2020-08-27,4,0,0,1,0,1,Vancouver,0.13635068,0.3556385,0.5080108,0.06852783,0.1903711,0.5193219,0.22177918
186,186,2020-08-28,9,0,3,12,0,15,Vancouver,0.34822714,0.30243555,0.34933725,0.20362614,0.15367433,0.4038656,0.23883387
