,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
1,1,2020-02-25,1,3.0,4.0,10.0,1.0,18.0,Vancouver,0.10811566561460495,0.5998380780220032,0.2920462191104889,0.22603119909763336,0.033049289137125015,0.4767870008945465,0.2641324996948242
2,2,2020-02-26,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
3,3,2020-02-27,1,0.0,1.0,0.0,0.0,1.0,Vancouver,0.6477890014648438,0.3352172374725342,0.016993718221783638,0.20405125617980957,0.024075228720903397,0.04314497858285904,0.7287285327911377
4,4,2020-02-28,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
5,5,2020-02-29,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
6,6,2020-03-01,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
7,7,2020-03-02,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
8,8,2020-03-03,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
9,9,2020-03-04,1,0.0,1.0,0.0,0.0,1.0,Vancouver,0.22507476806640625,0.7276129722595215,0.04731220379471779,0.3505668640136719,0.01764651946723461,0.16191929578781128,0.4698673486709595
10,10,2020-03-05,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
11,11,2020-03-06,1,0.0,0.0,1.0,0.0,1.0,Vancouver,0.7018107175827026,0.29094329476356506,0.007245881948620081,0.30413034558296204,0.011945192702114582,0.04240473359823227,0.6415196657180786
12,12,2020-03-07,1,0.0,0.0,0.0,0.0,0.0,Vancouver,0.5721848011016846,0.4041290581226349,0.023686042055487633,0.6338158845901489,0.014008323661983013,0.17046143114566803,0.18171435594558716
13,13,2020-03-08,0,0.0,0.0,0.0,0.0,0.0,Vancouver,0,0,0,0,0,0,0
14,14,2020-03-09,4,4.0,0.0,2.0,0.0,6.0,Vancouver,0.6148334741592407,0.3641369938850403,0.021029608324170113,0.5646499395370483,0.011276403442025185,0.05712113901972771,0.3669525384902954
15,15,2020-03-10,3,1.0,1.0,0.0,0.0,2.0,Vancouver,0.26638063788414,0.6204813122749329,0.1131381168961525,0.2857722043991089,0.024012526497244835,0.1110052838921547,0.5792099833488464
16,16,2020-03-11,1,1.0,0.0,0.0,0.0,1.0,Vancouver,0.2329658567905426,0.5115840435028076,0.2554500699043274,0.02241971343755722,0.06769200414419174,0.3205789625644684,0.5893093347549438
17,17,2020-03-12,1,0.0,0.0,0.0,0.0,0.0,Vancouver,0.14581623673439026,0.7451133131980896,0.10907046496868134,0.042957402765750885,0.010721080005168915,0.11836446076631546,0.8279571533203125
18,18,2020-03-13,5,1.0,1.0,9.0,1.0,12.0,Vancouver,0.2615202069282532,0.3980023264884949,0.34047752618789673,0.18908017873764038,0.22461843490600586,0.24980147182941437,0.3364998996257782
19,19,2020-03-14,1,0.0,0.0,1.0,0.0,1.0,Vancouver,0.061995729804039,0.2904393672943115,0.6475649476051331,0.12050045281648636,0.2428455352783203,0.10061125457286835,0.5360426902770996
20,20,2020-03-15,3,0.0,3.0,11.0,0.0,14.0,Vancouver,0.1631409227848053,0.24531489610671997,0.5915441513061523,0.1865941286087036,0.35727715492248535,0.1967773586511612,0.2593512237071991
21,21,2020-03-16,7,5.0,2.0,2.0,0.0,9.0,Vancouver,0.39115390181541443,0.461963415145874,0.14688269793987274,0.28108927607536316,0.03844204172492027,0.18256129324436188,0.4979073405265808
22,22,2020-03-17,10,1.0,1.0,6.0,0.0,8.0,Vancouver,0.37554535269737244,0.33063963055610657,0.2938149869441986,0.4019702076911926,0.2157193124294281,0.12154142558574677,0.2607690691947937
23,23,2020-03-18,5,1.0,1.0,6.0,0.0,8.0,Vancouver,0.6238502264022827,0.29655712842941284,0.07959263771772385,0.4558296203613281,0.022589709609746933,0.0846802368760109,0.43690046668052673
24,24,2020-03-19,10,5.0,5.0,30.0,0.0,40.0,Vancouver,0.34933292865753174,0.4626477360725403,0.18801937997341156,0.4806947112083435,0.06342877447605133,0.157822385430336,0.29805412888526917
25,25,2020-03-20,11,11.0,4.0,46.0,1.0,62.0,Vancouver,0.3330804705619812,0.43772420287132263,0.2291952222585678,0.3522784411907196,0.25539273023605347,0.07459802180528641,0.31773075461387634
26,26,2020-03-21,6,2.0,0.0,1.0,0.0,3.0,Vancouver,0.20808114111423492,0.2688000202178955,0.523118793964386,0.4070618450641632,0.3197471797466278,0.2097761183977127,0.0634148120880127
27,27,2020-03-22,19,24.0,9.0,78.0,5.0,116.0,Vancouver,0.36771923303604126,0.3900756239891052,0.24220509827136993,0.47677046060562134,0.12352451682090759,0.14546222984790802,0.25424280762672424
28,28,2020-03-23,19,14.0,2.0,64.0,0.0,80.0,Vancouver,0.4034716784954071,0.34414952993392944,0.25237876176834106,0.31046733260154724,0.28999006748199463,0.12987196445465088,0.26967063546180725
29,29,2020-03-24,10,3.0,1.0,8.0,0.0,12.0,Vancouver,0.3792634606361389,0.4291910231113434,0.1915455460548401,0.4688557982444763,0.08499874919652939,0.17261217534542084,0.27353328466415405
30,30,2020-03-25,11,4.0,0.0,7.0,0.0,11.0,Vancouver,0.3400203287601471,0.34572386741638184,0.31425586342811584,0.3499680757522583,0.2974148094654083,0.09970088303089142,0.25291621685028076
31,31,2020-03-26,14,10.0,8.0,40.0,4.0,62.0,Vancouver,0.2551043927669525,0.463424950838089,0.2814706861972809,0.30903148651123047,0.17484864592552185,0.17573411762714386,0.34038570523262024
32,32,2020-03-27,17,8.0,5.0,37.0,0.0,50.0,Vancouver,0.3524057865142822,0.47009316086769104,0.17750096321105957,0.35444843769073486,0.1261277049779892,0.23496463894844055,0.28445926308631897
33,33,2020-03-28,8,18.0,43.0,95.0,11.0,167.0,Vancouver,0.16967172920703888,0.48667049407958984,0.34365782141685486,0.29337847232818604,0.17946088314056396,0.24022550880908966,0.28693512082099915
34,34,2020-03-29,13,4.0,5.0,53.0,1.0,63.0,Vancouver,0.33715012669563293,0.3621048331260681,0.30074501037597656,0.3353840112686157,0.2371346801519394,0.14180931448936462,0.28567197918891907
35,35,2020-03-30,19,6.0,2.0,23.0,1.0,32.0,Vancouver,0.39785853028297424,0.36962294578552246,0.2325185239315033,0.4457007944583893,0.2420562207698822,0.12709152698516846,0.1851513534784317
36,36,2020-03-31,13,3.0,2.0,12.0,0.0,17.0,Vancouver,0.4426439702510834,0.32037442922592163,0.2369815707206726,0.5084481239318848,0.18357382714748383,0.10876479744911194,0.1992131918668747
37,37,2020-04-01,20,2.0,3.0,14.0,0.0,19.0,Vancouver,0.49263983964920044,0.38107985258102417,0.1262802928686142,0.5199053287506104,0.05980141833424568,0.10785047709941864,0.31244271993637085
38,38,2020-04-02,7,3.0,2.0,7.0,0.0,12.0,Vancouver,0.3565303385257721,0.24305228888988495,0.40041738748550415,0.32439571619033813,0.2382092922925949,0.22291533648967743,0.21447965502738953
39,39,2020-04-03,14,1.0,1.0,6.0,2.0,10.0,Vancouver,0.40688085556030273,0.322634220123291,0.27048492431640625,0.4165206551551819,0.11423598229885101,0.19132839143276215,0.27791503071784973
40,40,2020-04-04,6,1.0,1.0,0.0,0.0,2.0,Vancouver,0.40465471148490906,0.5204979777336121,0.07484738528728485,0.4003574550151825,0.10272785276174545,0.08518017083406448,0.4117344915866852
41,41,2020-04-05,6,0.0,1.0,2.0,0.0,3.0,Vancouver,0.12487127631902695,0.33499279618263245,0.54013592004776,0.20146067440509796,0.41791215538978577,0.08466651290655136,0.2959606349468231
42,42,2020-04-06,8,6.0,6.0,58.0,3.0,73.0,Vancouver,0.2805660665035248,0.3526511490345001,0.3667827844619751,0.17060047388076782,0.13743674755096436,0.1267118752002716,0.5652508735656738
43,43,2020-04-07,4,1.0,0.0,6.0,0.0,7.0,Vancouver,0.38044247031211853,0.30267536640167236,0.3168821930885315,0.31466183066368103,0.3874567747116089,0.13715362548828125,0.16072775423526764
44,44,2020-04-08,10,4.0,14.0,101.0,1.0,120.0,Vancouver,0.4039202630519867,0.3162407875061035,0.27983900904655457,0.23394151031970978,0.18187376856803894,0.09151045978069305,0.4926743507385254
45,45,2020-04-09,3,4.0,7.0,11.0,0.0,22.0,Vancouver,0.3152402341365814,0.6617341041564941,0.023025697097182274,0.30371975898742676,0.01737803779542446,0.05647366866469383,0.6224284172058105
46,46,2020-04-10,10,5.0,6.0,54.0,0.0,65.0,Vancouver,0.3029046654701233,0.32616129517555237,0.37093400955200195,0.22265641391277313,0.1610877811908722,0.11558791249990463,0.5006678700447083
47,47,2020-04-11,5,1.0,9.0,60.0,1.0,71.0,Vancouver,0.337116539478302,0.35501229763031006,0.30787116289138794,0.49156659841537476,0.1302347481250763,0.19469091296195984,0.18350765109062195
48,48,2020-04-12,7,3.0,2.0,4.0,0.0,9.0,Vancouver,0.2996305525302887,0.4185639023780823,0.28180554509162903,0.36804625391960144,0.19839933514595032,0.2275090515613556,0.20604531466960907
49,49,2020-04-13,17,9.0,10.0,56.0,0.0,75.0,Vancouver,0.4639508128166199,0.28196248412132263,0.2540867328643799,0.4498545825481415,0.1982525885105133,0.11934075504541397,0.23255212604999542
50,50,2020-04-14,5,0.0,1.0,10.0,0.0,11.0,Vancouver,0.5537421107292175,0.32661110162734985,0.11964680999517441,0.3597935736179352,0.07681811600923538,0.05305075645446777,0.5103375315666199
51,51,2020-04-15,13,3.0,0.0,16.0,0.0,19.0,Vancouver,0.3578026592731476,0.4826727509498596,0.15952466428279877,0.46890538930892944,0.13668395578861237,0.12343328446149826,0.2709773778915405
52,52,2020-04-16,7,2.0,1.0,7.0,0.0,10.0,Vancouver,0.26701590418815613,0.544759213924408,0.18822486698627472,0.19285067915916443,0.07050899416208267,0.12126658856868744,0.6153737306594849
53,53,2020-04-17,5,3.0,0.0,2.0,1.0,6.0,Vancouver,0.46646079421043396,0.1534866988658905,0.3800524175167084,0.3329511284828186,0.21776428818702698,0.21705035865306854,0.2322341650724411
54,54,2020-04-18,7,0.0,0.0,17.0,0.0,17.0,Vancouver,0.4475574493408203,0.2595524489879608,0.29289013147354126,0.38629648089408875,0.17229364812374115,0.13644032180309296,0.30496957898139954
55,55,2020-04-19,5,6.0,8.0,18.0,1.0,33.0,Vancouver,0.5009638667106628,0.4448093771934509,0.054226718842983246,0.3936517834663391,0.010436196811497211,0.026132866740226746,0.5697792172431946
56,56,2020-04-20,9,4.0,2.0,18.0,1.0,25.0,Vancouver,0.3496369421482086,0.2901996374130249,0.3601634204387665,0.39818689227104187,0.25755876302719116,0.07767870277166367,0.2665756344795227
57,57,2020-04-21,4,0.0,0.0,0.0,0.0,0.0,Vancouver,0.4320412576198578,0.3905952274799347,0.17736349999904633,0.3046483099460602,0.2209082543849945,0.14257782697677612,0.3318655788898468
58,58,2020-04-22,13,9.0,9.0,23.0,0.0,41.0,Vancouver,0.46581968665122986,0.41192707419395447,0.12225320935249329,0.5229759812355042,0.07373421639204025,0.09015921503305435,0.313130646944046
59,59,2020-04-23,6,4.0,1.0,7.0,0.0,12.0,Vancouver,0.38356781005859375,0.29005661606788635,0.3263755738735199,0.2612365186214447,0.11768502742052078,0.1466996818780899,0.4743787348270416
60,60,2020-04-24,6,3.0,2.0,13.0,0.0,18.0,Vancouver,0.2712375819683075,0.4379936754703522,0.29076871275901794,0.2862149775028229,0.19824127852916718,0.2599765956401825,0.25556710362434387
61,61,2020-04-25,6,4.0,3.0,28.0,2.0,37.0,Vancouver,0.18059532344341278,0.32942432165145874,0.4899803102016449,0.19536660611629486,0.5032890439033508,0.13993841409683228,0.16140589118003845
62,62,2020-04-26,7,3.0,2.0,23.0,0.0,28.0,Vancouver,0.510729968547821,0.33904725313186646,0.15022273361682892,0.4914482533931732,0.15406548976898193,0.042550649493932724,0.31193557381629944
63,63,2020-04-27,14,8.0,15.0,98.0,5.0,126.0,Vancouver,0.4375639855861664,0.37891408801078796,0.18352191150188446,0.3940895199775696,0.20411726832389832,0.12554632127285004,0.2762468159198761
64,64,2020-04-28,14,15.0,39.0,266.0,2.0,322.0,Vancouver,0.3192473351955414,0.3321579396724701,0.34859469532966614,0.33193889260292053,0.11332440376281738,0.24690581858158112,0.30783095955848694
65,65,2020-04-29,8,3.0,2.0,14.0,3.0,22.0,Vancouver,0.35299843549728394,0.3179066777229309,0.32909485697746277,0.3740353584289551,0.23741628229618073,0.04169486090540886,0.3468535244464874
66,66,2020-04-30,6,5.0,4.0,36.0,0.0,45.0,Vancouver,0.5516647696495056,0.2729972302913666,0.17533808946609497,0.3574579060077667,0.08780157566070557,0.17838561534881592,0.3763549029827118
67,67,2020-05-01,6,1.0,1.0,27.0,1.0,30.0,Vancouver,0.3868356943130493,0.33702170848846436,0.2761426270008087,0.5593897700309753,0.2454366683959961,0.1279308944940567,0.06724265217781067
68,68,2020-05-02,4,7.0,1.0,31.0,0.0,39.0,Vancouver,0.34543001651763916,0.5492725968360901,0.10529742389917374,0.4576713740825653,0.12956444919109344,0.10576153546571732,0.3070026636123657
69,69,2020-05-03,7,7.0,14.0,63.0,0.0,84.0,Vancouver,0.44376856088638306,0.34535637497901917,0.21087512373924255,0.44042539596557617,0.2428799718618393,0.12588515877723694,0.1908094435930252
70,70,2020-05-04,9,3.0,0.0,9.0,0.0,12.0,Vancouver,0.37555354833602905,0.5564048886299133,0.06804158538579941,0.4099273383617401,0.1486261934041977,0.13258157670497894,0.30886489152908325
71,71,2020-05-05,9,7.0,7.0,44.0,0.0,58.0,Vancouver,0.45945870876312256,0.3688756823539734,0.17166554927825928,0.4449886679649353,0.21829216182231903,0.039632175117731094,0.2970869243144989
72,72,2020-05-06,9,5.0,4.0,51.0,3.0,63.0,Vancouver,0.4034532904624939,0.3754650056362152,0.2210817188024521,0.29725778102874756,0.16401280462741852,0.1497616022825241,0.3889678716659546
