,Unnamed: 0,Date,ntweet,replycount,retweetcount,likecount,quotecount,interactcount,city,negative,neutral,positive,anger,joy,optimism,sadness
0,0,2020-02-24,1,0,0,4,0,4,Vancouver,0.9657198,0.030929273,0.0033509703,0.008386306,0.005838296,0.0053875796,0.98038775
1,1,2020-02-25,1,1,0,1,0,2,Vancouver,0.8873292,0.10622823,0.006442547,0.9041018,0.0065868516,0.028469585,0.06084187
2,2,2020-02-26,0,0,0,0,0,0,Vancouver,0.8873292,0.10622823,0.006442547,0.9041018,0.0065868516,0.028469585,0.06084187
3,3,2020-02-27,2,1,0,2,0,3,Vancouver,0.39814246,0.48025984,0.12159772,0.18888561,0.34686536,0.08478348,0.37946552
4,4,2020-02-28,5,3,0,0,0,3,Vancouver,0.34541538,0.48747578,0.16710882,0.4034527,0.18193623,0.21393156,0.20067962
5,5,2020-02-29,0,0,0,0,0,0,Vancouver,0.34541538,0.48747578,0.16710882,0.4034527,0.18193623,0.21393156,0.20067962
6,6,2020-03-01,4,3,0,2,0,5,Vancouver,0.3168238,0.42144847,0.26172778,0.14342058,0.26793113,0.2057245,0.38292384
7,7,2020-03-02,1,0,0,1,0,1,Vancouver,0.05969751,0.44445398,0.4958485,0.29442734,0.017381497,0.56348276,0.12470837
8,8,2020-03-03,1,0,0,1,0,1,Vancouver,0.8312607,0.14624654,0.022492876,0.24036077,0.5216405,0.053777218,0.18422149
9,9,2020-03-04,1,0,0,1,0,1,Vancouver,0.45276374,0.4417806,0.10545568,0.19759749,0.045841638,0.018879099,0.73768187
10,10,2020-03-05,3,1,0,1,0,2,Vancouver,0.09999312,0.5231909,0.37681594,0.098935425,0.58852917,0.08843111,0.22410439
11,11,2020-03-06,3,4,0,8,0,12,Vancouver,0.67416096,0.29936948,0.026469551,0.6092959,0.30080855,0.035075504,0.05482012
12,12,2020-03-07,2,0,0,3,0,3,Vancouver,0.03993688,0.43399778,0.52606523,0.09281507,0.759127,0.086953565,0.061104354
13,13,2020-03-08,3,2,0,31,0,33,Vancouver,0.3552612,0.49258366,0.1521551,0.58042204,0.0130445445,0.09813982,0.30839363
14,14,2020-03-09,3,3,3,24,0,30,Vancouver,0.5026621,0.46217299,0.035164792,0.5152783,0.04268941,0.03137936,0.41065297
15,15,2020-03-10,4,2,2,4,0,8,Vancouver,0.2952034,0.59518445,0.10961212,0.22126104,0.31459242,0.29252154,0.17162499
16,16,2020-03-11,3,2,0,2,0,4,Vancouver,0.40913883,0.42884728,0.16201384,0.3974966,0.12265877,0.35096753,0.12887715
17,17,2020-03-12,6,4,0,16,0,20,Vancouver,0.44754824,0.35531667,0.19713503,0.48870325,0.24226387,0.06648768,0.20254523
18,18,2020-03-13,2,3,0,1,0,4,Vancouver,0.118078515,0.7205358,0.16138564,0.14306603,0.16044962,0.35719097,0.3392933
19,19,2020-03-14,3,2,0,6,0,8,Vancouver,0.26047972,0.6264619,0.1130583,0.07789631,0.55589396,0.030083334,0.3361263
20,20,2020-03-15,5,2,0,5,0,7,Vancouver,0.16652358,0.67229795,0.16117842,0.23867624,0.13863204,0.45809692,0.16459484
